id,name,category,description,affected_population,status,confidence_score,evidence_count,evidence_quality_index,consistency_index,created_at,last_updated,notes,category_legacy,evidence_strength_legacy,epidemiological_strength_legacy,mitigation_intervention_ids_legacy,source_pmids_legacy,csrs_score_legacy,csrs_last_updated_legacy
HYP-0011,Phthalate exposure (prenatal+postnatal),environmental,Phthalates endocrine disruptors; prenatal exposure neurodevelopmental delays.,Population-wide via plastics,active,0.3732,1,0.1991,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,3,3,INT-0052,32569579,,
HYP-0012,BPA / bisphenol exposure,environmental,Disrupts thyroid+estrogen signaling; prenatal-autism associations.,Population-wide via plastics,active,0.3732,1,0.1991,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,3,3,INT-0052,,,
HYP-0013,"Air pollution (PM2.5, traffic)",environmental,Strong epi evidence linking prenatal/early-life PM2.5 to autism.,Urban + freeway-adjacent,active,0.2960,1,0.1201,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,4,4,INT-0051,,,
HYP-0014,"Pesticide exposure (organophosphates, glyphosate)",environmental,Prenatal organophosphate documented; glyphosate increasing evidence.,Agricultural + dietary,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,3,3,INT-0053,,,
HYP-0015,"Heavy metal exposure (Pb, Hg, Al)",environmental,Lead well-established; mercury/aluminum in autism debated.,Geographically variable,active,0.3122,3,0.4666,0.0817,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,3,3,INT-0009,,,
HYP-0016,Mold / mycotoxin exposure,environmental,Mycotoxins linked to immune dysregulation.,Hidden mold subset,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,2,2,INT-0054,,,
HYP-0017,EMF exposure (controversial),environmental,Postulated via oxidative stress; evidence sparse.,Population-wide,active,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,environmental,1,1,INT-0050,,,
HYP-0018,"Maternal diabetes (GDM, T2)",other,Significantly increases offspring autism risk via inflammation/hyperglycemia.,GDM-affected pregnancies,active,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,dietary,4,4,,,,
HYP-0019,Maternal obesity,other,Associated with offspring autism; partial inflammation mediation.,Obesity-affected pregnancies,active,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,dietary,3,3,,,,
HYP-0020,Maternal vitamin D deficiency,other,Maternal vitamin D deficiency in pregnancy associated with offspring autism.,Variable by latitude,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,dietary,3,3,INT-0013,,,
HYP-0021,Maternal omega-3 deficiency,other,Inadequate maternal DHA associated with neurodevelopmental risk.,Western diet populations,active,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,dietary,3,3,INT-0014,,,
HYP-0022,Early-life antibiotics (especially first year),other,Multiple early-life antibiotics disrupt gut microbiome maturation.,Antibiotic-exposed infants,active,0.1133,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,pharmacological,3,3,INT-0025,,,
HYP-0023,Cesarean section delivery,other,Bypasses vaginal microbiome seeding; modest risk increase.,C-section deliveries,active,0.1133,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,pharmacological,2,2,INT-0059,,,
HYP-0024,Maternal SSRI in pregnancy,other,Modest risk increase; confounded by underlying depression.,SSRI-treated pregnancies,active,0.3279,1,0.2263,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,pharmacological,2,2,,,,
HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",other,Maternal immune activation; rubella historically; CMV ongoing.,Variable,active,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,infectious,4,4,,,,
HYP-0026,"PANDAS/PANS triggers (strep, mycoplasma)",other,Post-infectious autoimmune syndrome with sudden regression.,Subset,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,infectious,3,3,INT-0006,,,
HYP-0027,De novo mutations in synaptic genes,genetic,De novo LoF in SHANK3/NRXN/NLGN; whole-exome standard.,~10-30% of cases,active,0.5493,3,0.4310,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,genetic,5,5,,,,
HYP-0028,Inherited polygenic risk,genetic,Common variant polygenic risk explains ~50% of heritability.,Population-wide,active,0.0500,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,genetic,4,4,,,,
HYP-0029,Tuberous sclerosis (TSC1/TSC2),genetic,Single-gene mTOR pathway; rapamycin FDA-approved.,TSC patients (~50% ASD),active,0.4386,1,0.0487,1.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,genetic,5,5,INT-0036,,,
HYP-0030,PTEN hamartoma syndrome,genetic,Single-gene mTOR; macrocephaly+autism phenotype.,PTEN variants,active,0.2333,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-28T03:19:15+00:00,,genetic,5,5,INT-0036,,,
HYP-0031,AMPK pathway dysregulation,metabolic,"Reduced AMPK activity correlates with impaired autophagy, mitochondrial dysfunction, and metabolic inflexibility in autism subset. Targetable by metformin, berberine, exercise, caloric restriction.",Subset with mitochondrial markers + metabolic dysregulation,active,0.4257,2,0.1994,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Cross-cuts mitochondrial subtype (PHE-0002).,,,,,,,
HYP-0032,IGF-1 axis insufficiency,metabolic,"Low circulating IGF-1 reported in autism subsets, especially Rett (MECP2) and Phelan-McDermid (SHANK3). IGF-1 supplementation trials show signal in syndromic forms.","Rett, Phelan-McDermid, idiopathic subset",active,0.6621,3,0.4889,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,IGF-1 trial ongoing in PMS.,,,,,,,
HYP-0033,SIRTUIN / NAD+ depletion,metabolic,"Reduced NAD+ levels and SIRT1/3 activity in autism cohorts; implicated in mitochondrial dysfunction and synaptic plasticity deficits. Restoration via NAD+ precursors (NMN, NR) explored.","Mitochondrial subset, possibly population-wide low-grade",active,0.3534,1,0.1306,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Emerging area; mostly preclinical evidence.,,,,,,,
HYP-0034,Oxytocin system dysregulation,epigenetic,Reduced plasma and CSF oxytocin in autism; hypermethylation of OXTR gene reported. Intranasal oxytocin trials positive in subset for social cognition.,Population-wide signal; responder subset,active,0.5607,2,0.4049,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,OXTR epigenetic biomarker promising.,,,,,,,
HYP-0035,Maternal/prenatal thyroid hypofunction,endocrine,Maternal hypothyroxinemia during pregnancy associated with increased autism risk in offspring; iodine deficiency a major modifiable cause. Window: first trimester.,Iodine-deficient regions; gestational hypothyroidism,active,0.3838,1,0.2263,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Modesto 2015 cohort.,,,,,,,
HYP-0036,Maternal psychological stress (prenatal),perinatal,Severe maternal psychological stress during pregnancy associated with increased autism risk; mechanism via cortisol transfer and HPA programming.,Pregnancies with major life stressors,active,0.5223,2,0.5120,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Confounded with depression.,,,,,,,
HYP-0037,Childhood/family emotional stress,social,"Adverse childhood experiences and chronic family stress exacerbate autism phenotype severity (regression risk, behavioral dysregulation). Distinct from causation.",Subset; modifies trajectory,active,0.5959,3,0.5852,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Evidence largely correlational.,,,,,,,
HYP-0038,Excessive screen / smartphone exposure (early life),behavioral,Heavy screen exposure in 0-3y associated with autism-like social-communication delays; mechanism debated (displacement of social input vs direct neurodevelopmental).,Children with high (>2h/day) toddler screen time,active,0.3458,1,0.0929,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Madigan 2020 JAMA Pediatrics.,,,,,,,
HYP-0039,Sleep disruption / circadian misalignment,behavioral,"Sleep architecture abnormalities (reduced REM, fragmented sleep) common in autism; bidirectional with neuroinflammation and behavioral severity.",~50-80% of autism cases have sleep disturbance,active,0.6725,4,0.7396,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Bedtime melatonin trials positive.,,,,,,,
HYP-0040,"Birth complications (hypoxia, instrumental delivery)",perinatal,"Perinatal hypoxia, forceps/vacuum delivery, and prolonged labor associated with modestly increased autism risk via ischemic injury and inflammation.",Complicated births subset,active,0.4889,2,0.3532,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Effect size modest; confounded.,,,,,,,
HYP-0041,Preterm birth / NICU exposure,perinatal,"Preterm infants (<32 weeks) have 2-4x autism risk; mechanisms include white matter injury, NICU environmental stress, impaired microbiome seeding.",~10% of autism cases attributable,active,0.7157,5,0.7530,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Independent of other risk factors.,,,,,,,
HYP-0042,Ultra-processed food / Western diet pattern,behavioral,"Maternal and childhood diets high in ultra-processed foods associated with autism-like behaviors; mechanisms include additive exposure, fiber depletion, metabolic disruption.",Population-wide via Western diet,active,0.4251,2,0.2309,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Mostly correlational.,,,,,,,
HYP-0043,"Endocrine-disruptor exposure (personal care, cleaning)",environmental,"Phthalates, parabens, BPA in personal care products and household cleaners disrupt thyroid and sex hormone signaling during critical neurodevelopmental windows.",Population-wide,active,0.5046,2,0.4986,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Overlaps with HYP-0011 (phthalates) but broader exposure context.,,,,,,,
HYP-0044,Childhood vaccine exposure (contested),other,"Repeatedly tested in large cohort and meta-analytic studies; no causal link established at population level. Subset claims of regression after vaccination remain contested. Per spec §9.1, this is a contested hypothesis with overwhelmingly negative epidemiology and persistent anecdotal claims.",Population-wide exposure (>95% in developed nations),contested,0.6365,16,0.9191,0.1040,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Taylor 2014 meta-analysis null. State CONTESTED.,,,,,,,
HYP-0045,Vitamin D deficiency (maternal + child),metabolic,Low maternal 25-OH-D associated with autism risk; supplementation in deficient children improves behavior. Modifies immune and calcium signaling.,Latitude-dependent; ~30-50% deficient,active,0.5400,2,0.4814,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Saad 2018 RCT positive.,,,,,,,
HYP-0046,Zinc deficiency / copper:zinc imbalance,metabolic,Elevated copper:zinc ratio reported in autism; zinc cofactor for metallothioneins and 300+ enzymes. Supplementation normalizes ratio in subset.,Subset with elevated Cu:Zn,active,0.6618,4,0.6736,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Russo 2011.,,,,,,,
HYP-0047,Magnesium deficiency,metabolic,"Low RBC magnesium reported in autism; cofactor for NMDA regulation, ATP synthesis, GABA function. Common in Western diet patterns.",Population-wide via diet,active,0.4775,2,0.4039,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Often co-deficient with zinc.,,,,,,,
HYP-0048,Iodine deficiency / thyroid hypofunction,metabolic,"Maternal iodine insufficiency during pregnancy disrupts fetal thyroid hormone, critical for neurodevelopment.",Iodine-deficient regions,active,0.3838,1,0.2263,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,WHO classifies iodine deficiency as preventable cause of mental impairment.,,,,,,,
HYP-0049,Selenium deficiency,metabolic,"Cofactor for glutathione peroxidase (antioxidant), thyroid hormone deiodination. Low selenium status linked to oxidative stress phenotype.",Region-dependent (Brazil nut belt vs. selenium-poor soils),active,0.0967,0,0.0000,0.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Modest evidence.,,,,,,,
HYP-0050,Choline insufficiency (postnatal),metabolic,Methyl-donor and acetylcholine precursor; postnatal choline supplementation explored for cognitive benefit beyond prenatal.,Subset with documented low intake,active,0.3926,1,0.2059,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Distinct from HYP-0003 prenatal folate.,,,,,,,
HYP-0051,Maternal autoimmune comorbidity,immune,"Maternal Hashimoto's, lupus, type 1 diabetes, and other autoimmune conditions associated with offspring autism risk; mechanism via maternal autoantibodies and chronic inflammation.",~5-15% of autism cases linked to maternal autoimmunity,active,0.6632,5,0.6650,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Atladottir 2009.,,,,,,,
HYP-0052,Iron metabolism dysregulation,metabolic,"Iron deficiency anemia and ferritin abnormalities in autism subsets; iron critical for myelin, dopamine synthesis. Repletion shows behavioral benefit.","Subset (Pica, restricted eating)",active,0.4823,2,0.3941,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Reynolds 2020.,,,,,,,
HYP-0053,AGE / acrylamide cooking exposures,environmental,"High-heat cooking (frying, charring) generates advanced glycation end products and acrylamide; chronic exposure linked to neuroinflammation. Modifiable via cooking methods.",Population-wide via Western cooking patterns,active,0.1133,0,0.0000,0.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Speculative; mechanistically plausible.,,,,,,,
HYP-0054,Acetaminophen postnatal use (contested),other,Postnatal acetaminophen exposure during fever/illness explored as potential risk factor; mechanism via glutathione depletion. Distinct from HYP-0002 prenatal acetaminophen.,High pediatric usage,contested,0.3193,1,0.0533,1.0000,2026-04-27T21:14:42+00:00,2026-04-28T03:19:15+00:00,Schultz 2008; debated.,,,,,,,
HYP-0055,Endocannabinoid system dysregulation,metabolic,Reduced anandamide and altered CB1/CB2 signaling reported in autism cohorts; may underlie social cognition deficits and GABA-glutamate imbalance.,Subset; biomarker-defined,active,0.3165,1,0.1883,1.0000,2026-04-27T21:24:31+00:00,2026-04-28T03:19:15+00:00,Karhson 2018; Aran 2019.,,,,,,,
HYP-0056,Bifidobacterium depletion (autism-specific),microbial,"Multi-meta-analyses show consistent reduction in Bifidobacterium abundance (esp. B. longum, B. breve, B. infantis) in autism vs. neurotypical children. Bifidobacteria produce GABA, modulate immune tone, protect epithelial integrity. Hazan 2024 case documents Bifidobacterium 0% → 1.56% post-FMT with verbal emergence.",Population-wide signal in autism cohorts,active,0.6447,4,0.6299,1.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,Iglesias-Vázquez 2020 meta-analysis n=1972.,,,,,,,
HYP-0057,Clostridia overgrowth / dysbiotic fermentation,microbial,"Elevated Clostridium species (esp. C. histolyticum group, C. perfringens) reported in autism cohorts. Clostridia produce p-cresol, 4-ethylphenyl sulfate, propionate at high levels — all linked to autism-like behavior in animal models.","Subset, especially with GI symptoms",active,0.6149,4,0.6327,1.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,"Finegold 2002, 2010; consume-GABA hypothesis.",,,,,,,
HYP-0058,Akkermansia / Faecalibacterium depletion,microbial,Reduced Akkermansia muciniphila and Faecalibacterium prausnitzii (major butyrate producers) reported in autism cohorts. Both protect mucin layer and produce SCFAs.,Subset; mucin barrier compromise,active,0.5282,2,0.4584,1.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,Pulikkan 2018; Liu 2022.,,,,,,,
HYP-0059,Intestinal barrier permeability ('leaky gut'),immune,"Elevated zonulin, lactulose-mannitol ratio, and serum LPS reported in autism. Permits microbial metabolite translocation and chronic immune activation. Distinct from microbiome composition itself.",~25-50% of autism cases,active,0.4703,2,0.3274,1.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,de Magistris 2010.,,,,,,,
HYP-0060,Microbial p-cresol / 4-EPS metabolite excess,microbial,Elevated urinary and plasma p-cresol and 4-EPS in autism; mechanism via tyrosine metabolism by Clostridia. Inhibits catecholamine synthesis (Bermudez-Martin 2021); induces autism-like behavior in mice (Hsiao 2013).,Subset with elevated metabolites,active,0.5197,3,0.4119,1.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,Strong mouse mechanistic; correlational human.,,,,,,,
HYP-0061,Fungal dysbiosis / candida overgrowth,microbial,"Elevated Candida (especially C. albicans) reported in autism GI subset; produces propionic acid, ammonia, biofilms. Anecdotal antifungal response common in functional/integrative protocols.",Subset; biomarker-defined,active,0.1133,0,0.0000,0.0000,2026-04-27T21:33:28+00:00,2026-04-28T03:19:15+00:00,Less well peer-reviewed; functional med tradition strong.,,,,,,,
HYP-0062,Brain serotonin synthesis dysregulation (TPH2/vitamin D),metabolic,Low brain serotonin paired with elevated peripheral serotonin (hyperserotonemia) is a long-documented autism finding. Patrick & Ames 2014 propose this is mediated by vitamin D regulation of TPH2 (brain) vs TPH1 (gut) — vitamin D deficiency could preferentially impair brain serotonin synthesis while leaving peripheral synthesis intact.,Population-wide signal; vitamin-D-deficient subset,active,0.3335,1,0.0698,1.0000,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00,Patrick & Ames 2014 FASEB J hypothesis paper.,,,,,,,
HYP-0063,Brain glutathione depletion,metabolic,"Reduced GSH/GSSG ratio reported in autism brain and plasma; compromises antioxidant capacity, methylation, mercury detoxification. Sulforaphane raises plasma + brain glutathione (Liu 2020). Distinct from general 'oxidative stress' — the specific antioxidant pool that's depleted.",Subset; biomarker-defined,active,0.6340,3,0.6742,1.0000,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00,James 2004; Liu 2020 brain GSH.,,,,,,,
HYP-0064,DHA membrane phospholipid insufficiency,metabolic,"Inadequate phospholipid DHA in neuronal membranes during developmental windows compromises receptor function, synaptic plasticity, microglial regulation. Distinct from omega-3 deficiency in general — phospholipid form (krill, salmon roe) vs triglyceride form (most fish oil) determines brain uptake.",Western diet populations; preconception/prenatal critical,active,0.3618,1,0.1563,1.0000,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00,Werner 2011; Patrick FoundMyFitness 2017.,,,,,,,
HYP-0065,Heat shock response insufficiency / 'fever effect' subtype,immune,"Curran 2007 documented that ~80% of autistic children showed behavioral improvement during fever. Subsequent animal work showed whole-body hyperthermia improves behavior in C58/J and Shank3B- mice. Hypothesis: a subset of autism reflects insufficient baseline heat shock response that is transiently rescued by HSF1 activation (fever, sauna, exercise, sulforaphane).",Subset; ~80% by parental report (Curran 2007),active,0.4512,2,0.3040,1.0000,2026-04-27T21:44:33+00:00,2026-04-28T03:19:15+00:00,Curran 2007 Pediatrics; hyperthermia mouse models.,,,,,,,
HYP-0066,Hepatitis B vaccine (neonatal birth-dose),other,"Day-of-birth hepatitis B vaccination has been hypothesized as a specific autism risk factor distinct from the broader childhood vaccine schedule, on the basis of (a) the neonatal developmental window, (b) aluminum adjuvant content (~250 mcg per dose), and (c) the small marginal risk-benefit ratio in non-endemic populations where maternal HBsAg is negative. Gallagher & Goodman 2010 NHIS analysis reported a 3x odds ratio in male neonates; IOM 2011, Verstraeten 2003 VSD, and Andersson 2025 Danish nationwide cohort (n=1.2M) found no causal association. Per spec §1.1 and §9.1, the hypothesis is recorded with status=contested and the engine scores from the evidence mix — currently tilted strongly toward the null per study size and design.",All US-born children since 1991 (universal recommendation),contested,0.5585,6,0.7499,0.0794,2026-04-27T22:06:26+00:00,2026-04-28T03:19:15+00:00,"Status=contested; Gallagher 2010 positive vs IOM 2011 + Verstraeten 2003 + Andersson 2025 null. Per ACIP Sep 2025 review, universal birth-dose recommendation is itself under policy review.",,,,,,,
HYP-0067,Aluminum adjuvant cumulative exposure (vaccines),environmental,"Cumulative aluminum from adjuvanted vaccines through the routine childhood schedule (typically 4-5 mg by age 2 in the US schedule) has been hypothesized as a neurodevelopmental risk factor distinct from any specific vaccine. Andersson 2025 nationwide Danish cohort (n=1,224,176) found no association between cumulative aluminum exposure in the first 2 years and 50 chronic conditions including autism (adjusted HR 0.93 per 1-mg increase). Distinct from heavy metal hypothesis (HYP-0015) — aluminum specifically and timing around vaccinations.",Population-wide via routine schedule,contested,0.5223,4,0.6589,0.1887,2026-04-27T22:06:26+00:00,2026-04-28T03:19:15+00:00,"Andersson 2025 JAMA Ann Intern Med null at population scale; minority claims (Tomljenovic + Shaw, Exley) maintain concerns. Status=contested.",,,,,,,
HYP-0068,MMR vaccine specifically (contested),other,"Measles-mumps-rubella combination vaccine has been the most intensively studied vaccine-autism question. Wakefield 1998 Lancet (later retracted) initiated the hypothesis. Subsequent large cohort studies — Madsen 2002 (NEJM, Denmark, n=537,303), Jain 2015 (JAMA, US sibling design, n=95,727), Hviid 2019 (Annals Intern Med, Denmark, n=657,461) — found no association. Hooker 2014/2018 (Translational Neurodegeneration → retracted; republished J Am Phys Surg 2018) re-analyzed CDC DeStefano 2004 data and claimed an association in African-American boys vaccinated before 36 months. Status=contested per spec §9.1.",Population-wide via routine schedule,contested,0.6595,8,0.8709,0.4564,2026-04-27T22:12:16+00:00,2026-04-28T03:19:15+00:00,Wakefield 1998 retracted (Lancet); 4 large cohort studies negative; Hooker 2014/2018 reanalysis claims subgroup effect.,,,,,,,
HYP-0069,"Thimerosal exposure (contested, largely removed)",other,"Thimerosal (ethylmercury preservative) was removed from essentially all US childhood vaccines by 2001 except some influenza formulations. Pre-2001 hypothesis: cumulative ethylmercury exposure → neurodevelopmental disorders. Post-2001: autism prevalence continued to rise despite removal, which the IOM 2004 review and subsequent studies cite as evidence against causation. Geier and Geier studies claimed association. Status=contested. Mainly historical given exposure removal.",Pre-2001 US-born children; some flu vaccines still,contested,0.5948,3,0.6049,1.0000,2026-04-27T22:12:16+00:00,2026-04-28T03:19:15+00:00,IOM 2004 review specifically rejected; mostly historical.,,,,,,,
HYP-0070,Lactate / pyruvate ratio elevation (bioenergetic biomarker),metabolic,"Elevated blood/CSF lactate (≥22 mg/dL) and lactate:pyruvate ratio (>25) indicate anaerobic shift in cellular metabolism, reported across autism, schizophrenia, bipolar. Distinct from general 'mitochondrial dysfunction' hypothesis (HYP-0006) — this is the specific quantifiable bioenergetic biomarker. Magnesium (lactate clearance), B-complex (PDH/ETC cofactors), and CO2 (Bohr effect) are mechanistically targetable. anomalie_blue's Ray-Peat-influenced framing on X.",Subset with elevated biomarkers; ~30-50% of mitochondrial subset,active,0.3706,1,0.1883,1.0000,2026-04-27T22:16:07+00:00,2026-04-28T03:19:15+00:00,Oh 2020 Korean cohort; bioenergetic framing emphasizes metabolism-first interpretation.,,,,,,,
