id,from_id,from_type,to_id,to_type,edge_table,relation_type,polarity,rationale,supporting_pmids,status,created_at,verification_query
CAND-0011,INT-0028,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Resveratrol activates SIRT1 → SIRT1 deacetylates FOXO3a → activates antioxidant + autophagy program.,28258028;33110391,verified,2026-04-28T02:13:59+00:00,resveratrol SIRT1 FOXO3 deacetylation
CAND-0012,INT-0093,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Alpha-lipoic acid insulin sensitization → modulates AKT-FOXO axis.,23562296;15998258,verified,2026-04-28T02:13:59+00:00,alpha lipoic acid insulin signaling AKT (broadened)
CAND-0013,INT-0047,intervention,MEC-0013,mechanism,intervention_mechanism_edges,modulates,supporting,Aerobic exercise activates AMPK → AMPK phosphorylates FOXO3 → mitochondrial biogenesis.,29364488;40861274,verified,2026-04-28T02:13:59+00:00,AMPK/FoxO3 (Zhang 2018) + FoxO exercise review (Liu 2025)
CAND-0014,INT-0021,intervention,MEC-0028,mechanism,intervention_mechanism_edges,modulates,supporting,Lithium inhibits GSK-3β → stabilizes β-catenin → upregulates BDNF expression.,11685390;27882645,verified,2026-04-28T02:13:59+00:00,Lithium → BDNF rat brain (Fukumoto 2001) + neuron culture (De-Paula 2016)
CAND-0015,INT-0021,intervention,MEC-0009,mechanism,intervention_mechanism_edges,modulates,supporting,GSK-3β cross-talks with mTOR via TSC2; lithium modulates mTOR pathway activity.,32989388,verified,2026-04-28T02:13:59+00:00,Lithium chloride → mTOR phosphorylation (Xiao 2020); single direct ref.
CAND-0016,INT-0022,intervention,MEC-0015,mechanism,intervention_mechanism_edges,modulates,supporting,Myo-inositol is the precursor for phosphoinositides (PIP2/PIP3) underlying PI3K/AKT signaling.,39479697;40293706,verified,2026-04-28T02:13:59+00:00,Myo-inositol → AMPK/PI3K/AKT (Aghajani 2024 RCT) + maternal myo-inositol → PI3K/Akt/mTOR (Guo 2025)
CAND-0017,INT-0024,intervention,MEC-0020,mechanism,intervention_mechanism_edges,modulates,supporting,Glycine is an obligate NMDA-receptor co-agonist; modulates Ca2+/glutamate-NMDA homeostasis.,30738126;36465862,verified,2026-04-28T02:13:59+00:00,glycine NMDA receptor co-agonist glycine site
CAND-0018,INT-0024,intervention,MEC-0001,mechanism,intervention_mechanism_edges,modulates,supporting,Glycine is one of three amino acid precursors of glutathione (γ-Glu-Cys-Gly).,29559876;38418414,verified,2026-04-28T02:13:59+00:00,glycine glutathione synthesis precursor supplementation
CAND-0019,INT-0041,intervention,MEC-0008,mechanism,intervention_mechanism_edges,modulates,unknown,GFCF diet modulates gut-brain axis; whole-population RCT effect mixed; effect concentrated in subset.,31813108;16555138,verified,2026-04-28T02:13:59+00:00,gluten free casein free diet autism randomized trial
CAND-0020,INT-0041,intervention,MEC-0022,mechanism,intervention_mechanism_edges,modulates,supporting,GFCF reduces intestinal permeability / LPS translocation in zonulin-elevated subset.,28502607;32635367,verified,2026-04-28T02:13:59+00:00,Serum zonulin elevated in ASD (Esnafoglu 2017) + zonulin/permeability meta-analysis (Asbjornsdottir 2020)
CAND-0021,INT-0041,intervention,PHE-0004,phenotype,intervention_phenotype_edges,treats,supporting,GFCF responder phenotype is the GI/microbiome subgroup specifically.,35565765;23131376,verified,2026-04-28T02:13:59+00:00,GFCF diet autism gastrointestinal symptoms responder
CAND-0022,INT-0049,intervention,MEC-0029,mechanism,intervention_mechanism_edges,modulates,supporting,UVB-driven cutaneous vitamin D synthesis → vitamin D regulates TPH2 / brain serotonin synthesis.,24558199,verified,2026-04-28T02:13:59+00:00,vitamin D TPH2 serotonin brain autism Patrick
CAND-0023,INT-0049,intervention,MEC-0016,mechanism,intervention_mechanism_edges,modulates,supporting,Morning sunlight entrains the suprachiasmatic nucleus and normalizes the cortisol awakening response.,41756577;30770426,verified,2026-04-28T02:13:59+00:00,bright light therapy cortisol (broadened)
