id,name,category,description,affected_population,status,confidence_score,evidence_count,evidence_quality_index,consistency_index,created_at,last_updated,notes,category_legacy,evidence_strength_legacy,epidemiological_strength_legacy,mitigation_intervention_ids_legacy,source_pmids_legacy,csrs_score_legacy,csrs_last_updated_legacy
HYP-0012,BPA / bisphenol exposure,environmental,Disrupts thyroid+estrogen signaling; prenatal-autism associations.,Population-wide via plastics,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,3,3,INT-0052,,,
HYP-0013,"Air pollution (PM2.5, traffic)",environmental,Strong epi evidence linking prenatal/early-life PM2.5 to autism.,Urban + freeway-adjacent,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,4,4,INT-0051,,,
HYP-0014,"Pesticide exposure (organophosphates, glyphosate)",environmental,Prenatal organophosphate documented; glyphosate increasing evidence.,Agricultural + dietary,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,3,3,INT-0053,,,
HYP-0015,"Heavy metal exposure (Pb, Hg, Al)",environmental,Lead well-established; mercury/aluminum in autism debated.,Geographically variable,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,3,3,INT-0009,,,
HYP-0016,Mold / mycotoxin exposure,environmental,Mycotoxins linked to immune dysregulation.,Hidden mold subset,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,2,2,INT-0054,,,
HYP-0017,EMF exposure (controversial),environmental,Postulated via oxidative stress; evidence sparse.,Population-wide,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,environmental,1,1,INT-0050,,,
HYP-0018,"Maternal diabetes (GDM, T2)",other,Significantly increases offspring autism risk via inflammation/hyperglycemia.,GDM-affected pregnancies,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,dietary,4,4,,,,
HYP-0019,Maternal obesity,other,Associated with offspring autism; partial inflammation mediation.,Obesity-affected pregnancies,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,dietary,3,3,,,,
HYP-0020,Maternal vitamin D deficiency,other,Maternal vitamin D deficiency in pregnancy associated with offspring autism.,Variable by latitude,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,dietary,3,3,INT-0013,,,
HYP-0021,Maternal omega-3 deficiency,other,Inadequate maternal DHA associated with neurodevelopmental risk.,Western diet populations,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,dietary,3,3,INT-0014,,,
HYP-0022,Early-life antibiotics (especially first year),other,Multiple early-life antibiotics disrupt gut microbiome maturation.,Antibiotic-exposed infants,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,pharmacological,3,3,INT-0025,,,
HYP-0023,Cesarean section delivery,other,Bypasses vaginal microbiome seeding; modest risk increase.,C-section deliveries,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,pharmacological,2,2,INT-0059,,,
HYP-0024,Maternal SSRI in pregnancy,other,Modest risk increase; confounded by underlying depression.,SSRI-treated pregnancies,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,pharmacological,2,2,,,,
HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",other,Maternal immune activation; rubella historically; CMV ongoing.,Variable,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,infectious,4,4,,,,
HYP-0026,"PANDAS/PANS triggers (strep, mycoplasma)",other,Post-infectious autoimmune syndrome with sudden regression.,Subset,active,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,infectious,3,3,INT-0006,,,
HYP-0027,De novo mutations in synaptic genes,genetic,De novo LoF in SHANK3/NRXN/NLGN; whole-exome standard.,~10-30% of cases,active,0.0000,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,genetic,5,5,,,,
HYP-0028,Inherited polygenic risk,genetic,Common variant polygenic risk explains ~50% of heritability.,Population-wide,active,0.0000,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,genetic,4,4,,,,
HYP-0029,Tuberous sclerosis (TSC1/TSC2),genetic,Single-gene mTOR pathway; rapamycin FDA-approved.,TSC patients (~50% ASD),active,0.0000,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,genetic,5,5,INT-0036,,,
HYP-0030,PTEN hamartoma syndrome,genetic,Single-gene mTOR; macrocephaly+autism phenotype.,PTEN variants,active,0.0000,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-27T20:58:07+00:00,,genetic,5,5,INT-0036,,,
HYP-0031,AMPK pathway dysregulation,metabolic,"Reduced AMPK activity correlates with impaired autophagy, mitochondrial dysfunction, and metabolic inflexibility in autism subset. Targetable by metformin, berberine, exercise, caloric restriction.",Subset with mitochondrial markers + metabolic dysregulation,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Cross-cuts mitochondrial subtype (PHE-0002).,,,,,,,
HYP-0032,IGF-1 axis insufficiency,metabolic,"Low circulating IGF-1 reported in autism subsets, especially Rett (MECP2) and Phelan-McDermid (SHANK3). IGF-1 supplementation trials show signal in syndromic forms.","Rett, Phelan-McDermid, idiopathic subset",active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,IGF-1 trial ongoing in PMS.,,,,,,,
HYP-0033,SIRTUIN / NAD+ depletion,metabolic,"Reduced NAD+ levels and SIRT1/3 activity in autism cohorts; implicated in mitochondrial dysfunction and synaptic plasticity deficits. Restoration via NAD+ precursors (NMN, NR) explored.","Mitochondrial subset, possibly population-wide low-grade",active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Emerging area; mostly preclinical evidence.,,,,,,,
HYP-0034,Oxytocin system dysregulation,epigenetic,Reduced plasma and CSF oxytocin in autism; hypermethylation of OXTR gene reported. Intranasal oxytocin trials positive in subset for social cognition.,Population-wide signal; responder subset,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,OXTR epigenetic biomarker promising.,,,,,,,
HYP-0035,Maternal/prenatal thyroid hypofunction,endocrine,Maternal hypothyroxinemia during pregnancy associated with increased autism risk in offspring; iodine deficiency a major modifiable cause. Window: first trimester.,Iodine-deficient regions; gestational hypothyroidism,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Modesto 2015 cohort.,,,,,,,
HYP-0036,Maternal psychological stress (prenatal),perinatal,Severe maternal psychological stress during pregnancy associated with increased autism risk; mechanism via cortisol transfer and HPA programming.,Pregnancies with major life stressors,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Confounded with depression.,,,,,,,
HYP-0037,Childhood/family emotional stress,social,"Adverse childhood experiences and chronic family stress exacerbate autism phenotype severity (regression risk, behavioral dysregulation). Distinct from causation.",Subset; modifies trajectory,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Evidence largely correlational.,,,,,,,
HYP-0038,Excessive screen / smartphone exposure (early life),behavioral,Heavy screen exposure in 0-3y associated with autism-like social-communication delays; mechanism debated (displacement of social input vs direct neurodevelopmental).,Children with high (>2h/day) toddler screen time,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Madigan 2020 JAMA Pediatrics.,,,,,,,
HYP-0039,Sleep disruption / circadian misalignment,behavioral,"Sleep architecture abnormalities (reduced REM, fragmented sleep) common in autism; bidirectional with neuroinflammation and behavioral severity.",~50-80% of autism cases have sleep disturbance,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Bedtime melatonin trials positive.,,,,,,,
HYP-0040,"Birth complications (hypoxia, instrumental delivery)",perinatal,"Perinatal hypoxia, forceps/vacuum delivery, and prolonged labor associated with modestly increased autism risk via ischemic injury and inflammation.",Complicated births subset,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Effect size modest; confounded.,,,,,,,
HYP-0041,Preterm birth / NICU exposure,perinatal,"Preterm infants (<32 weeks) have 2-4x autism risk; mechanisms include white matter injury, NICU environmental stress, impaired microbiome seeding.",~10% of autism cases attributable,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Independent of other risk factors.,,,,,,,
HYP-0042,Ultra-processed food / Western diet pattern,behavioral,"Maternal and childhood diets high in ultra-processed foods associated with autism-like behaviors; mechanisms include additive exposure, fiber depletion, metabolic disruption.",Population-wide via Western diet,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Mostly correlational.,,,,,,,
HYP-0043,"Endocrine-disruptor exposure (personal care, cleaning)",environmental,"Phthalates, parabens, BPA in personal care products and household cleaners disrupt thyroid and sex hormone signaling during critical neurodevelopmental windows.",Population-wide,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Overlaps with HYP-0011 (phthalates) but broader exposure context.,,,,,,,
HYP-0044,Childhood vaccine exposure (contested),other,"Repeatedly tested in large cohort and meta-analytic studies; no causal link established at population level. Subset claims of regression after vaccination remain contested. Per spec §9.1, this is a contested hypothesis with overwhelmingly negative epidemiology and persistent anecdotal claims.",Population-wide exposure (>95% in developed nations),contested,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Taylor 2014 meta-analysis null. State CONTESTED.,,,,,,,
HYP-0045,Vitamin D deficiency (maternal + child),metabolic,Low maternal 25-OH-D associated with autism risk; supplementation in deficient children improves behavior. Modifies immune and calcium signaling.,Latitude-dependent; ~30-50% deficient,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Saad 2018 RCT positive.,,,,,,,
HYP-0046,Zinc deficiency / copper:zinc imbalance,metabolic,Elevated copper:zinc ratio reported in autism; zinc cofactor for metallothioneins and 300+ enzymes. Supplementation normalizes ratio in subset.,Subset with elevated Cu:Zn,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Russo 2011.,,,,,,,
HYP-0047,Magnesium deficiency,metabolic,"Low RBC magnesium reported in autism; cofactor for NMDA regulation, ATP synthesis, GABA function. Common in Western diet patterns.",Population-wide via diet,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Often co-deficient with zinc.,,,,,,,
HYP-0048,Iodine deficiency / thyroid hypofunction,metabolic,"Maternal iodine insufficiency during pregnancy disrupts fetal thyroid hormone, critical for neurodevelopment.",Iodine-deficient regions,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,WHO classifies iodine deficiency as preventable cause of mental impairment.,,,,,,,
HYP-0049,Selenium deficiency,metabolic,"Cofactor for glutathione peroxidase (antioxidant), thyroid hormone deiodination. Low selenium status linked to oxidative stress phenotype.",Region-dependent (Brazil nut belt vs. selenium-poor soils),active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Modest evidence.,,,,,,,
HYP-0050,Choline insufficiency (postnatal),metabolic,Methyl-donor and acetylcholine precursor; postnatal choline supplementation explored for cognitive benefit beyond prenatal.,Subset with documented low intake,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Distinct from HYP-0003 prenatal folate.,,,,,,,
HYP-0051,Maternal autoimmune comorbidity,immune,"Maternal Hashimoto's, lupus, type 1 diabetes, and other autoimmune conditions associated with offspring autism risk; mechanism via maternal autoantibodies and chronic inflammation.",~5-15% of autism cases linked to maternal autoimmunity,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Atladottir 2009.,,,,,,,
HYP-0052,Iron metabolism dysregulation,metabolic,"Iron deficiency anemia and ferritin abnormalities in autism subsets; iron critical for myelin, dopamine synthesis. Repletion shows behavioral benefit.","Subset (Pica, restricted eating)",active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Reynolds 2020.,,,,,,,
HYP-0053,AGE / acrylamide cooking exposures,environmental,"High-heat cooking (frying, charring) generates advanced glycation end products and acrylamide; chronic exposure linked to neuroinflammation. Modifiable via cooking methods.",Population-wide via Western cooking patterns,active,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Speculative; mechanistically plausible.,,,,,,,
HYP-0054,Acetaminophen postnatal use (contested),other,Postnatal acetaminophen exposure during fever/illness explored as potential risk factor; mechanism via glutathione depletion. Distinct from HYP-0002 prenatal acetaminophen.,High pediatric usage,contested,,,,,2026-04-27T21:14:42+00:00,2026-04-27T21:14:42+00:00,Schultz 2008; debated.,,,,,,,
