id,name,category,description,status,evidence_strength,kegg_ids,reactome_ids,opentargets_ids,created_at,last_updated,notes
MEC-0018,Endocannabinoid system,neural,,active,0.7848,hsa04723,R-HSA-264642,,2026-04-27T21:14:42+00:00,2026-04-30T15:35:55+00:00,"CB1/CB2 modulation of glutamate, GABA, microglial activation. Anandamide low in some autism cohorts; CBD trials positive."
MEC-0019,Vagus nerve / autonomic regulation,neural,,active,0.8289,hsa04725,R-HSA-112310,,2026-04-27T21:14:42+00:00,2026-04-30T15:35:55+00:00,"Vagal tone regulates inflammation (cholinergic anti-inflammatory pathway), gut-brain signaling, social engagement (polyvagal theory). Reduced HRV variability reported in autism."
MEC-0020,Calcium / glutamate-NMDA homeostasis,neural,,active,0.6934,hsa04020,R-HSA-112315,,2026-04-27T21:14:42+00:00,2026-04-30T15:35:55+00:00,"Excitotoxicity hypothesis; NMDA hyperactivation; calcium dysregulation in mitochondria. Targeted by memantine, riluzole, magnesium."
MEC-0021,Short-chain fatty acid (SCFA) signaling,microbial,,active,0.8194,hsa00640,R-HSA-1430728,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,"Butyrate, acetate, propionate produced by Faecalibacterium, Roseburia, Eubacterium. Modulate microglial maturation, BBB integrity, T-reg differentiation. Both protective (low dose) and toxic (high propionate animal models)."
MEC-0022,Lipopolysaccharide (LPS) endotoxemia / leaky gut,immune_inflammatory,,active,0.6427,hsa04621,R-HSA-446203,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,Increased intestinal permeability allows LPS translocation; TLR4 activation drives systemic + neuroinflammation. Reported elevated in autism cohorts.
MEC-0023,Tryptophan-kynurenine metabolism,metabolic,,active,0.7417,hsa00380,R-HSA-71240,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,Microbial diversion of tryptophan to kynurenine pathway (reducing serotonin synthesis) and to indoles (AhR signaling). Altered ratios reported in autism.
MEC-0024,p-cresol / 4-EPS aromatic metabolite production,microbial,,active,0.4825,hsa00360,,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,"Clostridia produce p-cresol from tyrosine; reaches brain, inhibits dopamine-β-hydroxylase. 4-EPS produced by Bacteroides fragilis-deficient gut induces autism-like behavior in mice (Hsiao 2013)."
MEC-0025,Bile acid metabolism / FXR signaling,metabolic,,active,0.8095,hsa00120,R-HSA-159418,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,"Microbial deconjugation and 7α-dehydroxylation of primary bile acids; secondary bile acids signal via FXR/TGR5 to regulate metabolism, inflammation, neuronal function."
MEC-0026,Microbial GABA / neurotransmitter synthesis,microbial,,active,0.8701,hsa00410,,,2026-04-27T21:33:28+00:00,2026-04-30T15:35:55+00:00,"Specific Lactobacillus and Bifidobacterium strains produce GABA, serotonin precursors, dopamine. Bifidobacterium-deficient autism cohorts may have reduced microbial GABA contribution."
MEC-0027,Heat shock protein (HSF1/HSP70/HSP90) response,other,,active,0.8324,hsa04141,R-HSA-3371556,,2026-04-27T21:44:33+00:00,2026-04-30T15:35:55+00:00,"Cellular stress-response chaperone system. Refolds misfolded proteins, prevents aggregation, modulates inflammation. Induced by heat (sauna), cold, exercise, sulforaphane. Hypothesized mechanism for the 'fever effect' in autism (Curran 2007)."
MEC-0028,BDNF / neurotrophin signaling,neural,,active,0.4834,hsa04722,R-HSA-209560,,2026-04-27T21:44:33+00:00,2026-04-30T15:35:55+00:00,"Brain-derived neurotrophic factor; central to synaptic plasticity, neurogenesis, dendritic growth. Reduced serum BDNF in autism subsets. Lactate-driven by exercise; modulated by ketones, sulforaphane, omega-3."
MEC-0029,Vitamin-D-regulated serotonin synthesis (TPH2),neural,,active,0.5989,hsa00380,R-HSA-380615,,2026-04-27T21:44:33+00:00,2026-04-30T15:35:55+00:00,Calcitriol activates TPH2 transcription via VDRE in brain (serotonin↑) and represses TPH1 in periphery. Patrick & Ames 2014: explains low brain / high peripheral serotonin paradox in autism. Distinct from kynurenine pathway (MEC-0023).
MEC-0030,Autophagy / proteostasis,metabolic,,active,0.7089,hsa04140,R-HSA-1632852,,2026-04-27T21:44:33+00:00,2026-04-30T15:35:55+00:00,"Cellular quality-control: degradation of damaged proteins and organelles. Activated by fasting, exercise, caloric restriction, rapamycin (mTOR inhibition), AMPK signaling. Disrupted in syndromic autism (TSC, PTEN — mTOR hyperactivation). Distinct from mTOR pathway itself (MEC-0009) — autophagy is downstream effector."
MEC-0031,DHA membrane phospholipid composition,neural,,active,0.4389,hsa00592,R-HSA-1483115,,2026-04-27T21:44:33+00:00,2026-04-30T15:35:55+00:00,"DHA (22:6n-3) incorporated into neuronal phospholipids (phosphatidylserine, phosphatidylethanolamine). Determines membrane fluidity, receptor function, signaling. Phospholipid DHA accumulates ~10x more in brain than triglyceride DHA (Werner 2011). Distinct from neuroinflammation effects."
MEC-0032,Aluminum adjuvant accumulation / TLR-mediated neuroinflammation,immune_inflammatory,,active,0.8277,hsa04620,R-HSA-168181,,2026-04-27T22:06:26+00:00,2026-04-30T15:35:55+00:00,Aluminum hydroxide / aluminum phosphate used as vaccine adjuvants activate NLRP3 inflammasome and TLR signaling. Hypothesized mechanism for any neurodevelopmental signal from cumulative aluminum exposure in early life. Distinct from existing heavy metal hypothesis (HYP-0015) — aluminum specifically and timing around vaccinations.
MEC-0033,Photobiomodulation / cytochrome c oxidase activation,neural,,active,0.2036,hsa00190,R-HSA-611105,,2026-04-27T22:16:07+00:00,2026-04-30T15:35:55+00:00,"Red and near-infrared light (600-1100 nm) absorbed by cytochrome c oxidase (complex IV); displaces nitric oxide, increases ATP synthesis, modulates ROS signaling. Distinct mechanism from heat shock response. Direct mitochondrial stimulation pathway. Underlies Leisman 2018 red-laser intervention in autism."
MEC-0034,GABA developmental polarity switch (NKCC1/KCC2),neural,"GABA neurotransmitter shifts from depolarizing (excitatory) in immature neurons to hyperpolarizing (inhibitory) in mature neurons. The switch depends on developmental down-regulation of NKCC1 chloride importer (high in fetal/neonatal neurons) and up-regulation of KCC2 chloride exporter (low at birth, rising through first year). Failure — KCC2 deficiency, NKCC1 persistence, or stress-induced reversion — leaves neurons with elevated intracellular chloride and depolarizing GABA, producing aberrant E:I ratios. Bumetanide (INT-0005) is an NKCC1 inhibitor that targets this mechanism therapeutically. Distinct from steady-state GABA imbalance (MEC-0007) — this is specifically the developmental switching machinery.",active,0.6434,,,,2026-04-28T16:14:42+00:00,2026-04-30T15:35:55+00:00,Developmental switch mechanism specifically; complement to MEC-0007 (steady-state E:I) and MEC-0020 (NMDAR Ca2+). Bumetanide INT-0005 is the targeted intervention.
