id,name,category,directionality,mechanism_summary,dose_range,cost_per_month_usd,otc_or_rx,pediatric_safe,csrs_score,csrs_last_updated,status,created_at,last_updated,notes,targets_legacy,source_pmids_legacy,source_anecdote_ids_legacy,csrs_score_legacy,csrs_last_updated_legacy
INT-0023,Taurine,supplement,treatment,Inhibitory neuromodulator; supports GABA tone.,500-2000 mg/day,12,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,GABA; calcium homeostasis,,,73.6,2026-04-24T13:11:52.804324+00:00
INT-0024,Glycine,supplement,treatment,Improves sleep; precursor to glutathione.,1-3 g/day,8,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NMDA co-agonist; glutathione precursor,,,66.7,2026-04-24T13:11:52.804324+00:00
INT-0025,Probiotics (multi-strain),supplement,treatment,Specific strains (Visbiome) modulate autism gut microbiome.,varies,50,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,gut microbiome,29282296,,71.1,2026-04-24T13:11:52.804324+00:00
INT-0026,Berberine,supplement,treatment,Activates AMPK; modulates microbiome; emerging interest.,500-1500 mg/day,25,otc,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,AMPK; gut microbiome,,,10.8,2026-04-24T13:11:52.804324+00:00
INT-0027,Curcumin (high-bioavailability),supplement,treatment,Crosses BBB in bioavailable forms; modulates microglial activation.,500-1500 mg/day,30,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NF-kB; neuroinflammation; BDNF,,,73.8,2026-04-24T13:11:52.804324+00:00
INT-0028,Resveratrol,supplement,treatment,SIRT1 activator; mitochondrial biogenesis.,100-500 mg/day,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,SIRT1; mTOR,,,70.5,2026-04-24T13:11:52.804324+00:00
INT-0029,Quercetin,supplement,treatment,Mast cell stabilizer; relevant for autism + MCAS subset.,500-1500 mg/day,20,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mast cells; histamine,,,65.9,2026-04-24T13:11:52.804324+00:00
INT-0030,Choline (CDP-choline / Alpha-GPC),supplement,treatment,Methyl donor; preconception/prenatal choline reduces neurodevelopmental risk.,250-1000 mg/day,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,acetylcholine; methylation,,,84.6,2026-04-24T13:11:52.804324+00:00
INT-0031,Bacopa monnieri,herb,treatment,Adaptogen; pediatric ADHD trials show cognitive improvement.,300-600 mg/day,20,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,BDNF; cholinergic,,,35.4,2026-04-24T13:11:52.804324+00:00
INT-0032,Ashwagandha,herb,treatment,Adaptogen; reduces cortisol and anxiety.,300-600 mg/day,18,otc,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,GABA; cortisol; HPA axis,,,10.3,2026-04-24T13:11:52.804324+00:00
INT-0033,Lion's mane (Hericium erinaceus),herb,treatment,Stimulates NGF synthesis; mechanistic plausibility for neurodevelopment.,500-3000 mg/day,30,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NGF; BDNF,,,10.7,2026-04-24T13:11:52.804324+00:00
INT-0034,Saffron,herb,treatment,RCTs show comparable efficacy to methylphenidate in pediatric ADHD.,30 mg/day standardized,25,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,serotonin; dopamine,30852141,,34.5,2026-04-24T13:11:52.804324+00:00
INT-0035,Cannabidiol (CBD),herb,treatment,Multiple small autism trials show behavior and seizure improvements.,1-5 mg/kg/day,100,otc,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,endocannabinoid system; GABA,32514691,,71.5,2026-04-24T13:11:52.804324+00:00
INT-0036,Rapamycin (sirolimus),drug,treatment,FDA-approved for TSC; off-label in autism + mTOR variants.,0.5-2 mg twice weekly,200,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mTOR pathway,,,69.2,2026-04-24T13:11:52.804324+00:00
INT-0037,Metformin,drug,treatment,Activates AMPK; modulates microbiome.,500-1000 mg/day,8,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,AMPK; gut microbiome,,,71.8,2026-04-24T13:11:52.804324+00:00
INT-0038,Memantine,drug,treatment,NMDA modulator; mixed RCT results.,5-20 mg/day,30,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NMDA receptor antagonist,23253334,,62.2,2026-04-24T13:11:52.804324+00:00
INT-0039,Riluzole,drug,treatment,Glutamate modulator; FDA for ALS; small autism trials.,50-200 mg/day,200,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,glutamate; sodium channels,,,10.1,2026-04-24T13:11:52.804324+00:00
INT-0040,D-cycloserine,drug,treatment,NMDA partial agonist; small trials for autism social cognition.,50 mg weekly,80,rx,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,NMDA glycine site,,,8.9,2026-04-24T13:11:52.804324+00:00
INT-0041,GFCF diet,food,treatment,Eliminates gluten and dairy; mixed RCT results overall but responsive subset.,diet protocol,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,opioid peptides; intestinal permeability,23829541,,69.7,2026-04-24T13:11:52.804324+00:00
INT-0042,GAPS diet,food,treatment,Multi-stage healing diet; anecdotal autism community endorsement.,diet protocol,0,lifestyle,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,gut healing; microbiome,,,62.2,2026-04-24T13:11:52.804324+00:00
INT-0043,Low-glutamate diet,food,treatment,Reduces excitatory load; small case series.,diet protocol,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,MSG; free glutamate; excitotoxicity,,,11.1,2026-04-24T13:11:52.804324+00:00
INT-0044,Cruciferous vegetable-rich diet,food,treatment,Whole-food source of sulforaphane and indole-3-carbinol.,>=3 servings/week,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,sulforaphane; NRF2; detox,,,12.1,2026-04-24T13:11:52.804324+00:00
INT-0045,Low-oxalate diet,food,treatment,Eliminates high-oxalate foods; controversial.,diet protocol,0,lifestyle,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,oxalate; mitochondrial,,,8.8,2026-04-24T13:11:52.804324+00:00
INT-0046,Sleep architecture optimization + melatonin,lifestyle,treatment,Sleep disturbance prevalent; structured sleep hygiene + melatonin (0.5-3 mg) improves daytime function.,behavioral + 0.5-3 mg melatonin,5,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,circadian rhythm; melatonin,,,72.6,2026-04-24T13:11:52.804324+00:00
INT-0047,Aerobic exercise (structured),lifestyle,treatment,"Increases BDNF, reduces neuroinflammation; small autism RCTs positive.","30-60 min, 3-5x/week",0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,BDNF; neuroinflammation,,,64.5,2026-04-24T13:11:52.804324+00:00
INT-0048,Sauna / heat therapy,lifestyle,treatment,Activates HSPs; supports detoxification.,"15-30 min, 2-4x/week",50,lifestyle,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,heat shock proteins; detox,,,8.7,2026-04-24T13:11:52.804324+00:00
INT-0049,Sunlight exposure,lifestyle,treatment,Vitamin D synthesis + circadian entrainment.,10-30 min midday,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,UVB; vitamin D; circadian,,,11.2,2026-04-24T13:11:52.804324+00:00
INT-0050,EMF reduction (bedroom),lifestyle,cause_mitigation,Removes wifi/cell from bedroom; mechanism via oxidative stress and circadian.,behavioral,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,electromagnetic field; oxidative stress,,,10.7,2026-04-24T13:11:52.804324+00:00
INT-0051,HEPA air filtration,environmental,cause_mitigation,Reduces airborne pollutants; relevant given air-pollution-autism associations.,$100-300 + filter changes,15,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,PM2.5; VOCs; mold,,,12.3,2026-04-24T13:11:52.804324+00:00
INT-0052,Glass / stainless replacement of plastic,environmental,cause_mitigation,Removes major exposure pathway for endocrine disruptors.,$50-200 one-time,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,BPA; phthalates,,,10.0,2026-04-24T13:11:52.804324+00:00
INT-0053,Organic produce,environmental,cause_mitigation,Reduces glyphosate and pesticide exposure.,ongoing,100,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,glyphosate; pesticide residue,,,9.6,2026-04-24T13:11:52.804324+00:00
INT-0054,Mold remediation,environmental,cause_mitigation,Hidden mold linked to immune dysregulation.,$500-5000 one-time,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mycotoxins; immune dysregulation,,,9.6,2026-04-24T13:11:52.804324+00:00
INT-0055,Mitochondrial cocktail (CoQ10+L-carnitine+B-complex),combo,treatment,Standard mitochondrial cocktail; targets multiple complexes.,per components,80,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,mitochondrial bioenergetics,,INT-0011;INT-0012,11.4,2026-04-24T13:11:52.804324+00:00
INT-0056,Gut healing combo (GFCF + L-glutamine + probiotics),combo,treatment,Targets gut-brain axis comprehensively.,per components,100,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,gut-brain axis,,INT-0025;INT-0041,9.9,2026-04-24T13:11:52.804324+00:00
INT-0057,Anti-inflammatory combo (sulforaphane + omega-3 + vitamin D),combo,treatment,Three independent anti-inflammatory mechanisms.,per components,70,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,neuroinflammation,,INT-0002;INT-0013;INT-0014,10.1,2026-04-24T13:11:52.804324+00:00
INT-0058,Preconception methylation panel + targeted nutrient repletion,supplement,prevention,Test parental methylation status; replete deficiencies before conception.,$100-200 test + repletion,30,otc,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,MTHFR; methylation,,,17.9,2026-04-24T13:11:52.804324+00:00
INT-0059,Vaginal microbiome seeding at C-section,lifestyle,prevention,Vaginal swab transfer to C-section infant; controversial.,,0,lifestyle,uncertain,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,infant microbiome,,,9.2,2026-04-24T13:11:52.804324+00:00
INT-0060,Extended exclusive breastfeeding (>=6mo),lifestyle,prevention,Human milk oligosaccharides shape infant microbiome.,,0,lifestyle,yes,,,active,2026-04-24T17:07:31+00:00,2026-04-24T17:07:31+00:00,,infant microbiome; HMOs,,,11.4,2026-04-24T13:11:52.804324+00:00
