id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-000014,SRC-000014,result,"Oral folinic acid has shown potential to improve symptoms in children with autism spectrum disorder (ASD). However, randomized controlled trials (RCTs) are limited. This double-blind, placebo-controlled RCT aimed to compare changes in Childhood Autism Rating Scale (CARS) scores in children with ASD aged 2-10 years, among folinic acid (2 mg/kg/day, maximum of 50 mg/day) and placebo groups at 24 weeks, in comparison with baseline. Both the groups received standard care (ABA and sensory integration","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000015,SRC-000015,result,In the original publication [...].,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000016,SRC-000016,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000017,SRC-000017,result,To provide pediatric clinicians with an overview of current research on leucovorin use in children with autism spectrum disorder (ASD) and a guide to patient evaluation and treatment. An association between cerebral folate deficiency (CFD) and ASD has been suggested in some studies. Autoantibodies that block folate entry into the brain are a cause of CFD and have been detected in 71% of patients with ASD. Leucovorin is a synthetic drug that increases folate concentrations in the brain despite th,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000018,SRC-000018,result,"Autism spectrum disorder (ASD) is a heterogeneous neurodevelopmental disorder that currently has no approved medical therapy to address core symptoms or underling pathophysiological processes. Several compounds are under development that address both underlying pathophysiological abnormalities and core ASD symptoms. This article reviews one of these treatments, d,l-leucovorin calcium (also known as folinic acid) for treatment of folate pathway abnormalities in children with ASD. Folate is a wate","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000019,SRC-000019,result,"Autism spectrum disorder (ASD) is a complex neurodevelopmental condition characterized by difficulty with social communication, behavior, and sensory integration. With its prevalence rising worldwide in recent decades, understanding and mitigating the origins of ASD has become a priority. Though its etiology is multifactorial, the current research highlights two major contributors, genetic susceptibilities and environmental inflammatory exposures, leading to oxidative stress during critical deve","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000020,SRC-000020,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000021,SRC-000021,result,"Cerebral folate deficiency (CFD) syndrome is a neurodevelopmental disorder typically caused by folate receptor autoantibodies (FRAs) that interfere with folate transport across the blood-brain barrier. Autism spectrum disorders (ASDs) and improvements in ASD symptoms with leucovorin (folinic acid) treatment have been reported in some children with CFD. In children with ASD, the prevalence of FRAs and the response to leucovorin in FRA-positive children has not been systematically investigated. In","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000022,SRC-000022,result,"Autism spectrum disorder (ASD) affects up to 1 in 36 children in the United States. It is a heterogeneous neurodevelopmental disorder with life-long consequences. Patients with ASD and folate pathway abnormalities have demonstrated improved symptoms after treatment with leucovorin (folinic acid), a reduced form of folate. However, biomarkers for treatment response have not been well investigated and clinical trials are lacking. In this retrospective analysis, a cohort of prospectively collected ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000023,SRC-000023,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000024,SRC-000024,result,"This is a double-blind, placebo-controlled randomized trial to investigate the potential therapeutic effects of folinic acid/placebo as an adjuvant to risperidone on inappropriate speech and other behavioral symptoms of autism spectrum disorder (ASD). Fifty-five ASD children (age (mean ± standard deviation) = 13.40 ± 2.00; male/female: 35/20) were evaluated for behavioral symptoms at baseline, week 5, and week 10 using the aberrant behavior checklist-community (ABC-C). Folinic acid dosage was 2 ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000025,SRC-000025,result,Autism spectrum disorders (ASD) are influenced by interacting maternal and environmental risk factors. High-dose folinic acid has shown improvement in verbal communication in ASD children. The EFFET randomized placebo-controlled trial (NCT02551380) aimed to evaluate the efficacy of folinic acid (FOLINORAL®) at a lower dose of 5 mg twice daily. Nineteen children were included in the EFFET trial. The primary efficacy outcome was improvement of Autism Diagnostic Observation Schedule (ADOS) score. T,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.1544,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000026,SRC-000026,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000027,SRC-000027,result,"The folate cycle has been implicated in the pathophysiology of autism due to its role in the glutathione oxidative stress pathway, amino acid and DNA methylation reactions, and neurotransmitter synthesis pathway. Previous research on folinic acid supplementation in autistic children has suggested potential benefits. The primary aim of this pilot study was to determine the safety, feasibility and efficacy of oral folinic acid in improving communication and behaviour in autistic children. Ten auti","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000028,SRC-000028,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000029,SRC-000029,result,"The authors describe a 6-year-old girl with developmental delay, psychomotor regression, seizures, mental retardation, and autistic features associated with low CSF levels of 5-methyltetrahydrofolate, the biologically active form of folates in CSF and blood. Folate and B12 levels were normal in peripheral tissues, suggesting cerebral folate deficiency. Treatment with folinic acid corrected CSF abnormalities and improved motor skills.","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0731,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000030,SRC-000030,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000031,SRC-000031,result,"Multiple factors such as genetic and extraneous causes (drugs, toxins, adverse psychological events) contribute to neuro-psychiatric conditions. In a subgroup of these disorders, systemic folate deficiency has been associated with macrocytic anemia and neuropsychiatric phenotypes. In some of these, despite normal systemic levels, folate transport to the brain is impaired in the so-called cerebral folate deficiency (CFD) syndromes presenting as developmental and psychiatric disorders. These inclu","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000032,SRC-000032,result,"Vascular health relies on the proper function of endothelial cells, which regulate vascular tone, blood fluidity, and barrier integrity. Endothelial dysfunction, often aggravated by inadequate vitamin absorption, contributes to a spectrum of clinical disorders, including cardiovascular disease, cerebrovascular disease, peripheral artery disease, age-related macular degeneration, lymphedema, and chronic venous insufficiency. B-group vitamins (especially folate, or vitamin B9), along with vitamins","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000033,SRC-000033,result,FDA to approve leucovorin despite questions about whom it might help.,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000034,SRC-000034,result,"Cerebral folate deficiency (CFD) syndrome is a rare treatable neurometabolic disorder with low levels of the active form of folaten in cerebrospinal fluid (CSF) arising from different causes such as FOLR1 gene mutations or autoantibodies against the folate receptor-alpha (FR) protein that can block folate transport across the choroid plexus. It is characterized by late infantile onset refractory seizures, ataxia, movement disorder, and unexplained global developmental delay. Here, we report a pa","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0731,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000035,SRC-000035,result,The United States Food and Drug Administration (FDA) has now linked acetaminophen use in pregnancy to risk of offspring autism and has recommended leucovorin as a possible therapeutic for ASD [...].,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000036,SRC-000036,result,"The folate receptor alpha autoantibodies (FRAAs) are associated with cerebral folate deficiency (CFD) and autism spectrum disorder (ASD). Both of these syndromes have overlapping characteristics with Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections (PANDAS) and Pediatric Acute-Onset Neuropsychiatric Syndrome (PANS). Thus, we propose that the FRAAs may contribute to the symptomatology of PANS/PANDAS. To test this hypothesis, 1 mL of serum from 47 patients (","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000037,SRC-000037,result,"Autism is a complex neurodevelopmental disorder that usually presents in early childhood and that is thought to be influenced by genetic and environmental factors. Although abnormal metabolism of methionine and homocysteine has been associated with other neurologic diseases, these pathways have not been evaluated in persons with autism. The purpose of this study was to evaluate plasma concentrations of metabolites in the methionine transmethylation and transsulfuration pathways in children diagn","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000038,SRC-000038,result,"To provide a balanced update for clinicians and families on folinic acid (leucovorin) in autism and the evidence regarding prenatal acetaminophen (paracetamol) exposure. We summarise key randomised trials of folinic acid and the most methodologically rigorous observational evidence on prenatal acetaminophen, with attention to study design and subgroup findings. Several small, randomised trials report short-term improvements in verbal or social communication with folinic acid. These effects appea","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000039,SRC-000039,result,This Viewpoint explores the US Food and Drug Administration’s plan to approve leucovorin for patients with autism and the potential implications for evidentiary standards.,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000040,SRC-000040,result,"Metabolic abnormalities and targeted treatment trials have been reported for several neurobehavioral disorders but are relatively understudied in autism. The objective of this study was to determine whether or not treatment with the metabolic precursors, methylcobalamin and folinic acid, would improve plasma concentrations of transmethylation/transsulfuration metabolites and glutathione redox status in autistic children. In an open-label trial, 40 autistic children were treated with 75 microg/kg","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000041,SRC-000041,result,We characterized cerebral folate deficiency (CFD) as any neuro-psychiatric condition associated with low spinal fluid (CSF) N5-methyltetrahydrofolate (MTHF) but normal folate status outside the central nervous system (CNS). The commonest cause underlying CFD syndromes is the presence of serum autoantibodies of the blocking type directed against folate receptor-α (FRα) attached to the plasma-side of choroid plexus epithelial cells. Blocking FR antibodies inhibit MTHF transport across the choroid ,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000042,SRC-000042,result,Autism spectrum disorder (ASD) has been linked to abnormalities in folate metabolism. Polymorphisms in folate genes may act in complex polygenic ways to increase the risk of developing ASD. Autoantibodies that block folate transport into the brain have been associated with ASD and children with ASD and these autoantibodies respond to high doses of a reduced form of folate known as folinic acid (leucovorin calcium). Some of the same abnormalities are also found in mothers of children with ASD and,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000043,SRC-000043,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000044,SRC-000044,result,Auto-antibodies against folate receptor alpha (FRα) at the choroid plexus that block N(5)-methyltetrahydrofolate (MTHF) transfer to the brain were identified in catatonic schizophrenia. Acoustic hallucinations disappeared following folinic acid treatment. Folate transport to the CNS prevents homocysteine accumulation and delivers one-carbon units for methyl-transfer reactions and synthesis of purines. The guanosine derivative tetrahydrobiopterin acts as common co-factor for the enzymes producing,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000045,SRC-000045,result,"In a rat model, following exposure to rat folate receptor alpha antibodies (FRαAb) during gestation, FRαAb accumulates in the placenta and the fetus and blocks folate transport to the fetal brain and produces behavioral deficits in the offspring. These deficits could be prevented with folinic acid. Therefore, we sought to evaluate folate transport to the brain in young rat pups and determine what effect FRαAb has on this process, to better understand the folate receptor autoimmune disorder assoc","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000046,SRC-000046,result,"Folate receptor alpha (FRα) autoantibodies have been associated with fetal abnormalities and cerebral folate deficiency-related developmental disorders. Over 70% of the children with autism spectrum disorders (ASD) are positive for these autoantibodies and high-dose folinic acid is beneficial in treating these children. Here we show that antibodies (Abs) to the rat FRα administered during gestation produce communication, learning and cognitive deficits in a rat model that can be prevented by fol","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""legacy_cause_id"": ""CAU-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000047,SRC-000047,result,Folic acid has been identified to be integral in rapid tissue growth and cell division during fetal development. Different studies indicate folic acid's importance in improving childhood behavioral outcomes and underline its role as a modifiable risk factor for autism spectrum disorders. The aim of this systematic review is to both elucidate the potential role of folic acid in autism spectrum disorders and to investigate the mechanisms involved. Studies have pointed out a potential beneficial ef,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000048,SRC-000048,result,"There is still no approved medication for the core symptoms of autism spectrum disorder (ASD). This network meta-analysis investigated pharmacological and dietary-supplement treatments for ASD. We searched for randomized-controlled-trials (RCTs) with a minimum duration of seven days in ClinicalTrials.gov, EMBASE, MEDLINE, PsycINFO, WHO-ICTRP (from inception up to July 8, 2018), CENTRAL and PubMed (up to November 3, 2021). The co-primary outcomes were core symptoms (social-communication difficult","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000049,SRC-000049,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000050,SRC-000050,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000051,SRC-000051,result,"Part I of this systematic review summarized the state-of-the-art of pediatric psychopharmacology for Autism Spectrum Disorder (ASD), a severe and lifelong neurodevelopmental disorder. The purpose of this Part II follow-up article is to provide a systematic overview of the experimental psychopharmacology of ASD. To this aim, we have first identified in the Clinicaltrials.gov website all the 157 pharmacological and nutraceutical compounds which have been experimentally tested in children and adole","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000052,SRC-000052,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000053,SRC-000053,result,"Recent research indicates that a number of children with autism generate folate receptor alpha autoantibodies (FRAA), which block transportation of folate across the blood-brain barrier, resulting in cerebral folate deficiency syndrome. Plasma FRAA detection permits precision diagnosis and potentially beneficial folinic acid treatment in FRAA-positive children with autism. To investigate FRAA prevalence in Thai children with autism and evaluate the associations between FRAA-positive status, clin","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000054,SRC-000054,result,"To examine the strengths and limitations of existing data to provide guidance for the use of folate supplements as treatment, with or without other psychotropic medications, in various psychiatric disorders. To identify area for further research in terms of the biosynthesis of mechanism of folate and genetic variants in metabolic pathway in human. A systematic review of published literature following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, to a","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000055,SRC-000055,result,"Folate deficiency and folate receptor autoimmune disorder are major contributors to infertility, pregnancy related complications and abnormal fetal development including structural and functional abnormalities of the brain. Food fortification and prenatal folic acid supplementation has reduced the incidence of neural tube defect (NTD) pregnancies but is unlikely to prevent pregnancy-related complications in the presence of folate receptor autoantibodies (FRAb). In pregnancy, these autoantibodies","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0001"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
