billing_id,entity_type,entity_id,cpt_codes,icd10_anchor,insurance_tier,prior_auth_typical,hsa_fsa_eligible,self_pay_cost_low,self_pay_cost_high,medicare_covered,medicaid_covered,private_typical_coverage,coverage_notes,added_date,source_urls
BIL-0011,TEST,TEST-0016,82017,E71.30,usually_covered,no,yes,150,400,yes,yes,Standard clinical genetics workup; covered with FAO disorder / suspected mito,"Mayo's Acylcarnitine Profile (ACRN) bills under 82017. Insurance covers reliably when ordered with ICD-10 indicating suspected fatty acid oxidation defect (E71.30), carnitine deficiency (E71.41), or mitochondrial disorder (E88.40). Often part of standard newborn screen panel (already paid for). Autism dx alone (F84.0) may trigger denial; pair with E71.30 or E88.40 if elevated lactate or unusual carnitine pattern documented. ARUP, LabCorp, Quest all offer.",2026-05-16,https://www.aapc.com/codes/cpt-codes/82017;https://neurology.testcatalog.org/show/ACRN
BIL-0012,TEST,TEST-0025,87507,K59.9,rarely_covered,no,yes,359,500,no,no,Diagnostic Solutions Lab is OON with all commercial plans; some HSA/FSA reimbursement,"GI-MAP uses CPT 87507 (infectious agent NAAT, multiplex, GI pathogen, 12-25 targets). Code is legitimate and Medicare-recognized for the multiplex GI pathogen panel format, but Diagnostic Solutions is OON with all commercial plans and not contracted with Medicare. Patients receive superbill for self-submission. With strong medical necessity letter (chronic GI symptoms, failed empirical treatment, suspected dysbiosis), partial reimbursement possible. HSA/FSA eligible. Mainstream alternative: PCR Gastrointestinal Pathogen Panel through Quest/LabCorp ($150-300 covered) gives ~30% of the GI-MAP marker coverage at full coverage.",2026-05-16,https://www.diagnosticsolutionslab.com/clinician-faqs;https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=56642
BIL-0013,TEST,TEST-0018,82139,E72.9,usually_covered,no,yes,150,300,yes,yes,Standard clinical workup when IEM suspected,"Plasma amino acids panel bills under 82139 (amino acids, multiple, quantitative). Quest test code 767. Covered with ICD-10 indicating amino acid metabolism disorder (E70-E72), inborn error of metabolism, or failure to thrive. Autism (F84.0) alone may not trigger coverage; pair with E72.9 (disorder of amino-acid metabolism, unspecified) or R62.51 (failure to thrive, child) for cleanest claim path. Strongest justification when prior unexplained ID, regression, or organic-acid abnormality on OAT documented.",2026-05-16,https://testdirectory.questdiagnostics.com/test/test-detail/767/amino-acid-analysis-plasma;https://www.findacode.com/cpt/82131-cpt-code.html
BIL-0014,TEST,TEST-0001,no CPT (consumer test),Z13.9,never_covered,no,yes,99,199,no,no,Not insurance billable; FSA/HSA eligible if health-only kit purchased,23andMe Health + Ancestry is a consumer genetic testing service. Not billable to insurance. Health-only kit (without ancestry component) is FSA/HSA-eligible per 23andMe's own ruling-supported guidance; up to $174 may be reimbursable. Ancestry-only kits do NOT qualify. Bankruptcy proceedings 2025-26 introduce some data-retention uncertainty - download raw .txt file within 30 days of receiving results. Same FSA/HSA framework applies to AncestryDNA Health (TEST-0002).,2026-05-16,https://www.23andme.com/fsa-hsa/;https://livelyme.com/blog/is-23andme-eligible-for-fsa-hsa-reimbursement
BIL-0015,TEST,TEST-0005,no CPT (downloadable report),Z13.9,never_covered,no,yes,75,150,no,no,Software-only product; cash-pay,StrateGene by Dr Lynch (sold through Sequencing.com) is a software report run against uploaded raw SNP data. No CPT code; no insurance billing. Cash-pay $75-150. HSA/FSA eligible with LMN if part of treatment plan for diagnosed condition. Similar story for Genetic Genie methylation report ($0-15) and NutraHacker reports ($22-57) which are also TEST-0003 and TEST-0004 in the catalog.,2026-05-16,https://sequencing.com/strategene
BIL-0016,TEST,TEST-0046,80053;85025;80061,Z00.121,always_covered,no,yes,30,80,yes,yes,Standard preventive lab; ACA preventive-care mandate covers annually,CBC (85025) + CMP (80053) + lipid panel (80061) are standard well-child labs. ACA preventive-care mandate requires one annual CMP-equivalent covered $0 copay for routine physical. Diagnostic context (ICD-10 F84.0 plus presenting symptoms) covers add-on testing same encounter. The 'always do this first' lab. CPT 80050 General Health Panel bundles CBC+CMP+TSH and if billed precludes itemized billing of 80053 same day.,2026-05-16,https://www.aapc.com/codes/cpt-codes/80053;https://www.bcbsil.com/docs/provider/il/standards/cpcp/cpcp021.pdf
BIL-0017,TEST,TEST-0043,82306,E55.9,sometimes_covered,no,yes,30,100,partial,yes,Covered with documented deficiency or specific risk-factor ICD-10; routine screening denied,"Vitamin D 25-OH (82306) is covered when billed with ICD-10 indicating documented deficiency (E55.9), at-risk condition (osteomalacia M83.x, malabsorption K90.x, chronic kidney disease, anticonvulsant therapy, dark skin in non-tropical latitude). Routine screening (Z13.220) is denied by Medicare and most commercial plans. For autism, the cleanest path is to test once under risk-screening (E55.9 + F84.0), document deficiency, then retest under E55.9. Pediatric Medicaid covers more permissively than Medicare. LetsGetChecked and Everlywell DTC versions $30-100 cash, FSA/HSA eligible.",2026-05-16,https://cms1500claimbilling.com/cpt-code-82306-82652-vitamin-d-hydroxy/;https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33771
BIL-0018,TEST,TEST-0112,no CPT (consumer kit),Z13.9,never_covered,no,yes,99,149,no,no,Cheap DTC microbiome composition test; cash-pay only,"Biomesight is direct-to-consumer 16S rRNA microbiome sequencing. No CPT code; no insurance billing path. Cash-pay $99-149. HSA/FSA eligibility ambiguous - sold as wellness rather than diagnostic; may qualify with LMN if ordered as part of diagnostic workup for documented GI symptoms (K59.x, K90.x). Compare to GI-MAP (TEST-0025) which is clinical-grade qPCR with pathogen-detection capability; Biomesight is composition-only.",2026-05-16,https://biomesight.com/
BIL-0019,INTERVENTION,INT-0001,N/A (prescription drug),E53.8,usually_covered,varies_by_plan,yes,9,150,yes,yes,FDA-labeled for cerebral folate deficiency as of 2025; generic widely covered,"Leucovorin (folinic acid) generic 5/10/15/25mg tablets are widely covered on commercial formularies (typically Tier 1-2). FDA label expansion 2025 added cerebral folate deficiency as an approved indication, which triggers mandatory Medicaid/CHIP coverage nationally. For autism with FRAT-positive results, prescribe under E53.8 (other specified vitamin B deficiencies) - that ICD-10 maps to the new approved label. Off-label autism (F84.0 alone) may trigger prior auth and denial. Compounded liquid for kids who can't swallow tablets is NOT typically covered - cash-pay $40-150/month at compounding pharmacy. Calculation: tablet form at $9-36/month for generic; CalciFolinate brand $150+/month.",2026-05-16,https://www.aap.org/en/patient-care/autism/use-of-leucovorin-in-autistic-pediatric-patients/frequently-asked-questions-faqs-for-pediatricians-and-other-prescribing-pediatric-clinicians/;https://tacanow.org/family-resources/leucovorin-for-autism/
BIL-0020,INTERVENTION,INT-0003,J3420 (intramuscular),E53.8,sometimes_covered,yes,yes,30,150,partial,partial,Covered as B12 deficiency injection (J3420) only with documented deficiency; compounded methyl-B12 typically not covered,"Cyanocobalamin injection (J3420) is covered by Medicare and most commercial plans with documented B12 deficiency (E53.8) or pernicious anemia (D51.0); prior auth often required. Methylcobalamin specifically (the form Frye/Neubrander use for autism) is typically compounded and NOT covered by insurance - cash-pay $30-150/month at compounding pharmacy (Empower, Belmar, Hopewell). Some commercial plans cover preservative-free methylcobalamin under DME if billed with B12 deficiency dx. HSA/FSA covers cash-pay portion. Workaround: have the pediatrician document B12 deficiency before switching to methyl-B12; some plans then cover the methylated form. Subcutaneous home injection (parent-administered) is the Neubrander protocol.",2026-05-16,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=33967;https://www.empowerpharmacy.com/compounding-pharmacy/methylcobalamin-injection-vitamin-b12/
BIL-0021,INTERVENTION,INT-0006,N/A (compounded prescription),G93.3,rarely_covered,yes,yes,30,80,no,no,Off-label use of naltrexone at sub-therapeutic dose; compounded only; almost never insurance-covered,"Low-dose naltrexone (LDN) for autism, autoimmunity, chronic pain is off-label compounded use of naltrexone. The naltrexone-50mg-tablet (FDA-approved for alcohol/opioid use disorder) IS covered, but cannot be dosed at 1.5-4.5mg. Compounding pharmacies (Belmar, Skip's, ParkAve) make 1.5-4.5mg capsules; cash-pay $30-80/month. Insurance almost never covers compounded LDN regardless of indication. HSA/FSA cover the cash cost as a prescription. Coverage strategies: (1) Letter of medical necessity citing autoimmune dx (G93.3 myalgic encephalomyelitis, M35.9 systemic autoimmune); (2) Single-case agreement request with peer-to-peer review; (3) Mark-Allen/AllianceRx specialty pharmacy if MS/Crohn's dx documented.",2026-05-16,https://ldnresearchtrust.org/does-insurance-cover-low-dose-naltrexone-ldn;https://www.compoundingcenter.com/blog/cost-low-dose-naltrexone-ldn
BIL-0022,INTERVENTION,INT-0036,N/A (oral prescription),Q85.1,usually_covered,yes,yes,50,800,yes,yes,Generic sirolimus covered with TSC; off-label for autism without TSC typically denied,"Sirolimus (rapamycin) generic is FDA-approved for renal transplant rejection prophylaxis and SEGA in TSC patients. With TSC dx (Q85.1) plus autism phenotype, coverage is reliable; generic copay $0-50/month with prior auth. For autism without TSC (off-label mTOR-inhibition theory), coverage is rare - most plans deny as experimental for ASD. Brand Rapamune $400-800/month. Specialty tier on most formularies. Topical sirolimus (Hyftor) is FDA-approved for TSC facial angiofibromas, separate coverage. Anti-aging/longevity off-label use is never covered. HSA/FSA covers cash cost.",2026-05-16,https://static.cigna.com/assets/chcp/pdf/coveragePolicies/pharmacy/ip_0511_coveragepositioncriteria_sirolimus.pdf;https://www.goodrx.com/sirolimus/medicare-coverage
BIL-0023,INTERVENTION,INT-0141,N/A (oral prescription),F84.0,always_covered,no,yes,5,50,yes,yes,FDA-approved for autism irritability ages 6-17; generic widely covered Tier 1-2,"Aripiprazole (Abilify) is FDA-approved for irritability associated with autistic disorder ages 6-17 (since 2009). Generic widely available, Tier 1-2 on most commercial formularies. Average $5-50/month for generic 5mg-15mg. Manufacturer coupon brings brand-name copay to $5 with commercial insurance. Medicaid covers nationwide. No prior auth required for FDA-labeled indication. The most reliably-covered atypical for autism (vs risperidone INT-0142 which is also FDA-approved). LAI formulation (Abilify Maintena/Asimtufii) carries different coverage requirements.",2026-05-16,https://www.goodrx.com/abilify/cost-without-insurance;https://news.bms.com/news/details/2009/US-Food-and-Drug-Administration-Approves-ABILIFY-aripiprazole-for-the-Treatment-of-Irritability-Associated-with-Autistic-Disorder-in-Pediatric-Patients-Ages-6-to-17-Years/default.aspx
BIL-0024,INTERVENTION,INT-0143,J1568;J1569;J1572;96365,D80.4,sometimes_covered,yes,yes,5000,20000,yes,partial,Covered for primary immune deficiency reliably; for PANS/autism requires extensive documentation and frequent appeal,"IVIG bills as drug (J1568 Octagam, J1569 Gammagard, J1572 Flebogamma, J1599 unspecified) plus administration (96365 first hour infusion, 96366 each additional). 500mg unit billing. Per-infusion total $5,000-20,000 depending on weight and brand. Medicare reliably covers for primary immune deficiency (D80.x, D81.x, D83.x). PANS/PANDAS coverage (F95.x + G93.3 + D80.4 hypogammaglobulinemia documented) is highly plan-specific; ~30-50% approval rate without appeal. For autism alone (F84.0) without immune workup showing measurable deficiency, denial is near-universal. Successful coverage paths: (1) Document IgG subclass deficiency (D80.3) on workup; (2) PANS-specific NIMH consensus criteria documentation; (3) Specialty immunology referral establishing primary immunodeficiency. HSA/FSA covers patient-responsibility portion.",2026-05-16,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=57187;https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/immune-globulin-ivig-scig.pdf
BIL-0025,INTERVENTION,INT-0046,N/A (OTC) or prescription,G47.00,sometimes_covered,no,yes,5,80,partial,partial,OTC melatonin not covered; prescription Slenyto coverage varies,"Standard OTC melatonin (1-10mg) is NOT covered by insurance ever; cash-pay $5-30 per bottle, FSA/HSA eligible with LMN citing sleep disorder (G47.00). Prescription prolonged-release melatonin (Slenyto in EU, similar formulations available US through compounding) for autism-associated insomnia is FDA-approved EU/UK/Canada but NOT FDA-approved in US as of 2026 - therefore not formulary-covered by US payers. Compounded prolonged-release melatonin $30-80/month. Some pediatric specialty pharmacies (KidneyRx, etc) offer pediatric-dose melatonin gummies under HSA. Workaround: bill 90791/90834 psychotherapy with sleep-hygiene CBT for the behavioral component; the melatonin itself remains OOP.",2026-05-16,https://www.slenyto.com/;https://flynnforum.com/education_training/post-prescription-leaflet/
BIL-0026,INTERVENTION,INT-0061,N/A (compounded prescription),F84.0,never_covered,no,yes,150,300,no,no,Off-label compounded nasal spray; failed phase 3 (SOARS-B 2021); no commercial coverage,"Intranasal oxytocin for autism is compounded by specialty pharmacies (Bayview, Empower, Harbor) at 40-100 IU/mL concentrations. Cash-pay $150-300/month. Not FDA-approved for any indication via intranasal route in the US; IV oxytocin (Pitocin) IS FDA-approved for labor induction but cannot be repurposed. SOARS-B (NEJM 2021) showed no benefit vs placebo, weakening any insurance appeal. No commercial plan covers compounded intranasal oxytocin for autism. HSA/FSA cover prescription cost. Coverage strategy: none reliable; counsel families this is OOP if pursued.",2026-05-16,https://www.medscape.com/viewarticle/963100;https://www.empowerpharmacy.com/compounding-pharmacy/oxytocin-nasal-spray/
BIL-0027,INTERVENTION,INT-0048,N/A (equipment),F84.0,never_covered,no,varies,40,5000,no,no,Public sauna sessions or home equipment; HSA/FSA eligible with LMN,"Sauna therapy (infrared specifically) is not insurance-covered. Per-session at gym/spa $20-60; home infrared sauna $1500-5000. HSA/FSA eligible with Letter of Medical Necessity from licensed clinician documenting qualifying condition (chronic pain M79.x, autonomic dysregulation G90.x, mold-related illness, cardiovascular conditioning). Truemed and similar services facilitate LMN issuance and HSA card use. For autism, the LMN typically cites autonomic dysregulation (G90.8) or detoxification support. Best HSA/FSA play in functional medicine for ASD families with available pre-tax dollars - hardware lasts years.",2026-05-16,https://www.truemed.com/blog/can-my-hsa-fsa-cover-an-infrared-sauna;https://www.crateshealth.com/blog/hsa-fsa-eligibility/sauna/
BIL-0028,INTERVENTION,INT-0076,44705;G0455,K59.9,never_covered,yes,no,15000,40000,no,no,FDA-approved only for recurrent C. difficile; autism use is investigational; clinical trials only,"FMT bills under 44705 (preparation by physician) and G0455 (instillation) per Medicare. FDA-approved only for recurrent C. difficile infection that has failed standard antibiotic therapy (>=3 episodes). For autism, FMT is INVESTIGATIONAL - the only legal pathway is enrollment in an IRB-approved trial. ASU/Krajmalnik-Brown Microbiota Transfer Therapy trial cohorts have been studied since 2017. No commercial coverage for autism indication. Cash-pay clinics in Mexico/Australia $15,000-40,000 per multi-session protocol. NOT HSA/FSA eligible because not FDA-recognized for autism indication. Counsel families: clinical trial enrollment only.",2026-05-16,https://www.bluecrossma.org/medical-policies/sites/g/files/csphws2091/files/acquiadam-assets/682%20Fecal%20Microbiota%20Transplantation%20prn.pdf;https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=56642
BIL-0029,INTERVENTION,INT-0014,N/A (OTC supplement),E53.8,never_covered,no,yes,15,80,no,no,OTC supplement; HSA/FSA eligible with LMN,"Omega-3 (EPA + DHA) supplements - prescription Lovaza/Vascepa are covered for hypertriglyceridemia (E78.x); OTC fish oil for autism is never insurance-covered. Cash $15-80/month for therapeutic-dose EPA+DHA (1-2g/day for child). HSA/FSA eligible with LMN citing inflammation, neurodevelopmental disorder F84.0, or omega-3 deficiency. Truemed-style services issue LMNs at scale. The classic foundation supplement; cheapest reliable buy is high-dose Carlson, Nordic Naturals, or generic IFOS-certified EPA+DHA.",2026-05-16,https://fsastore.com/fsa-eligibility-list/o/omega-3-supplements;https://hsastore.com/hsa-eligibility-list/o/omega-3-supplements
BIL-0030,INTERVENTION,INT-0013,N/A (OTC supplement),E55.9,never_covered,no,yes,5,30,no,no,OTC supplement; HSA/FSA eligible only with documented deficiency + LMN,"Vitamin D3 cholecalciferol OTC is never insurance-covered. HSA/FSA eligible ONLY with (a) documented deficiency (E55.9 - need 25-OH-D < 30 ng/mL on labs) AND (b) Letter of Medical Necessity from clinician. Cash $5-30/month for pediatric dose. Standalone vitamin without deficiency labs is treated by IRS as 'general health' - not HSA/FSA eligible. Workaround: order TEST-0043 first, document deficiency, then purchase supplement under LMN. Prescription-strength ergocalciferol (50,000 IU weekly) IS insurance-covered for severe deficiency with E55.9 - same molecule, just regulatory framing.",2026-05-16,https://www.irs.gov/individuals/frequently-asked-questions-about-medical-expenses-related-to-nutrition-wellness-and-general-health;https://www.joinforma.com/hsa-eligibility/vitamins
BIL-0031,INTERVENTION,INT-0015,N/A (OTC supplement),E61.2,never_covered,no,yes,8,30,no,no,OTC supplement; HSA/FSA eligible with LMN,"Magnesium glycinate OTC is never insurance-covered. HSA/FSA eligible with LMN citing magnesium deficiency (E61.2), sleep disorder (G47.00), constipation (K59.0), or muscle cramping (R25.2). Cash $8-30/month. Same IRS 'but-for' test as other supplements - the LMN must document the supplement is being used to treat a diagnosed condition, not for general wellness. RBC magnesium test (Quest) is the most defensible deficiency documentation.",2026-05-16,https://cymbiotika.com/blogs/brain-health/is-magnesium-glycinate-hsa-eligible-what-to-know;https://buyfsa.com/blogs/fsa-hsa-eligibility-list/is-magnesium-fsa-hsa-eligible
BIL-0032,INTERVENTION,INT-0041,N/A (dietary),K90.0,rarely_covered,no,partial,50,300,no,no,Gluten-free items reimbursable as incremental cost only; casein-free has no IRS recognition,"GFCF diet is not insurance-covered. HSA/FSA permits reimbursement of gluten-free items ONLY for the incremental cost above the standard equivalent (e.g., if GF bread is $7 and regular bread is $4, $3 is reimbursable) and ONLY with LMN documenting celiac disease (K90.0), wheat allergy (Z91.012), or non-celiac gluten sensitivity. Casein-free does not have a comparable IRS recognition unless milk allergy (Z91.011) documented. For autism without celiac, the LMN path is uncertain - the FCSN/TACA guidance is to document celiac/wheat-allergy testing first, then claim incremental costs. Annual receipt-tracking burden is high.",2026-05-16,https://intercom.help/myhsa/en/articles/9449512-gluten-free-items-eligibility-under-an-hsa;https://fsastore.com/articles/learn-fsa-eligible-diet-health-food.html
BIL-0033,INTERVENTION,INT-0002,N/A (OTC supplement),F84.0,never_covered,no,yes,30,60,no,no,OTC supplement; HSA/FSA eligible with LMN; clinical trial evidence is the supporting documentation,"Sulforaphane (from broccoli sprout extract or stabilized glucoraphanin/myrosinase) is not insurance-covered. Cash $30-60/month for therapeutic-dose products (Avmacol, Prostaphane). HSA/FSA eligible with LMN citing autism diagnosis (F84.0) and reference to Singh 2014 RCT supporting use. Some HSA administrators are conservative on this one because of the wellness/general-health framing; specifically request LMN reviewer at HSA administrator before submitting. Same logic applies to most other functional-medicine supplements (NAC, CoQ10, L-carnitine, P5P, methylfolate) - LMN required, eligibility depends on administrator interpretation.",2026-05-16,https://fsastore.com/fsa-eligibility-list/o/omega-3-supplements
