id,iatrogenic_id,iatrogenic_class,specific_agent,exposure_window,dose_or_intensity,target_phenotype_id,log_odds_shift,conditional_on_susceptibility,log_odds_shift_in_subgroup,credal_low,credal_high,evidence_quality,primary_pmids,countervailing_evidence_pmids,evidence_balance,mainstream_consensus_position,mechanism_id,recommendation_for_avoidance_window,recommendation_when_clinically_indicated,status,created_at,notes
IEP-00011,fluoroquinolone_pediatric_mito_vulnerable,fluoroquinolone,ciprofloxacin_levofloxacin_moxifloxacin,2_6yr;6_12yr;12_18yr,any,PHE-0002,0.30,mito_vulnerable_classic,0.75,0.30,1.20,0.55,8913349;19235604;26955658,,3,,MEC-0001,early_childhood_avoidance_in_mito_vulnerable,absolute_contraindication_in_mito_vulnerable_subset,active,2026-04-30T00:00:00+00:00,"Kaur 2016 J Community Support Oncol (PMID 26955658) — fluoroquinolone-related neuropsychiatric and mitochondrial toxicity. FDA black-box warning. AVOID in PHE-0002 / mito-vulnerable kids unless no alternative exists for serious infection. [H-10 audit fix: PMID grounding strengthened. Added Lawrence 1996 Mol Pharmacol (PMID 8913349) — original mechanistic finding of ciprofloxacin-induced mtDNA cleavage in mammalian cells, AND Lowes 2009 Free Radic Res (PMID 19235604) — fluoroquinolone-induced mitochondrial oxidative damage rescued by MitoQ. These canonical mechanistic papers are stronger evidence than Kaur 2016 review.]"
IEP-00012,early_childhood_repeat_antibiotics,antibiotic_class,multiple_courses_first_2_years,0_6mo;6_24mo,multiple_exposures,PHE-0004,0.30,always,0.30,0.05,0.60,0.55,26811868;30101312;31465485,,3,,MEC-0008,early_life_minimize_unnecessary_courses,use_narrow_spectrum_when_essential,active,2026-04-30T00:00:00+00:00,Korpela 2016 Nat Commun (PMID 26811868) macrolide microbiome perturbation in Finnish preschool children; Hamad 2018 Int J Epidemiol (PMID 30101312) early childhood antibiotics + autism; Hamad 2019 PLoS One (PMID 31465485) prenatal antibiotics + autism. Microbiome-perturbation mechanism for PHE-0004 risk.
IEP-00013,acid_suppressant_pediatric_chronic,ppi_chronic,omeprazole_esomeprazole_lansoprazole_h2_blocker,0_6mo;6_24mo;2_6yr,chronic,PHE-0004,0.25,microbiome_low_diversity_post_abx,0.50,0.10,0.85,0.45,36257597,,1,,MEC-0008,early_life_chronic_avoidance,reflux_lifestyle_management_first_intermittent_dosing,active,2026-04-30T00:00:00+00:00,Muhammad 2023 J Allergy Clin Immunol Pract (PMID 36257597) systematic review + meta-analysis — childhood acid suppressants increase allergy risk. Microbiome perturbation mechanism for PHE-0004 axis.
IEP-00014,general_anesthesia_pediatric_single_brief,general_anesthesia,sevoflurane_desflurane_isoflurane,0_6mo;6_24mo,single_brief,PHE-0002,0.0,always,0.0,-0.10,0.15,0.80,26507180;30782342,,2,,MEC-0001,no_avoidance_recommendation_for_single_brief_exposure,clinical_judgment_per_indication,active,2026-04-30T00:00:00+00:00,Davidson 2016 Lancet GAS trial 2-year (PMID 26507180) and McCann 2019 Lancet GAS trial 5-year (PMID 30782342) — single brief GA exposure in healthy infants showed no neurocognitive harm vs awake-regional. Counters earlier observational concerns for unselected single-exposure populations.
IEP-00015,general_anesthesia_pediatric_repeated_or_mito_vulnerable,general_anesthesia,sevoflurane_desflurane_isoflurane,trimester_1_2_3;0_6mo;6_24mo,multiple_exposures,PHE-0002,0.20,mito_vulnerable_classic,0.55,0.10,1.00,0.45,,26507180;30782342,-2,"FDA SmartTots, ASA, and the GAS trial (Davidson 2016 Lancet PMID 26507180; McCann 2019 PMID 30782342) support that brief single-exposure general anesthesia in young children does not cause measurable neurodevelopmental harm at population level. Caution is advised for prolonged or repeated exposures.",MEC-0001,defer_non_urgent_in_mito_vulnerable_under_3,use_lowest_duration_when_essential,contested,2026-04-30T00:00:00+00:00,GAS trial (above) showed null in unselected single-exposure but mito-vulnerable subgroup remains concern via halogenated-agent mito-toxicity. FDA Drug Safety Communication 2016 advised caution for repeated or extended exposures under age 3. Status: contested for mito-vulnerable subset.
IEP-00016,parenteral_aluminum_neonatal_extended,iatrogenic_environmental_dietary,parenteral_nutrition_aluminum,neonatal,extended_tpn,PHE-0002,0.30,prematurity_below_32wk,0.65,0.20,1.05,0.60,9164811,,1,,MEC-0001,minimize_aluminum_in_tpn,use_low_aluminum_formulations_when_indicated,active,2026-04-30T00:00:00+00:00,Bishop 1997 NEJM (PMID 9164811) — neuro effects of TPN aluminum in preterms. FDA contamination limit established. Mechanism: oxidative stress + mitochondrial.
IEP-00017,gestational_lithium,iatrogenic_psychiatric,lithium,trimester_1,any,CONGENITAL_TERATOGENIC_PATTERN,0.20,always,0.20,-0.05,0.45,0.55,28591541,,1,,,pregnancy_only,clinical_judgment_per_psychiatric_indication,active,2026-04-30T00:00:00+00:00,Patorno 2017 NEJM (PMID 28591541) — lithium pregnancy + cardiac malformation risk. Neurodevelopmental signal weaker than cardiac. Untreated maternal bipolar carries its own risks. [AUDIT-FIX: C-1 fix: MEC-0028 was wrong; lithium mechanism not specifically in atlas. M-8 fix: congenital teratogenic.]
IEP-00018,gestational_smoking_maternal,iatrogenic_lifestyle,maternal_tobacco,trimester_1_2_3,any,PHE-0003,0.05,always,0.05,-0.10,0.20,0.50,30498225,,1,,MEC-0001,pregnancy_only,smoking_cessation_program,active,2026-04-30T00:00:00+00:00,"Caramaschi 2018 Transl Psychiatry (PMID 30498225) — sibling negative-control design substantially attenuated maternal smoking-autism association from observational baseline. Some residual signal. Status: weaker than originally thought. [AUDIT-FIX M-9: Caramaschi 2018 sibling-control attenuated maternal smoking-autism association toward null. log_odds reduced from 0.10 to 0.05; credal interval widened to [-0.10, 0.20] to honestly reflect that the source paper actually argues against a strong effect.]"
IEP-00019,gestational_fluoride_high_water,iatrogenic_environmental_dietary,maternal_fluoride_above_2_5mg_l,trimester_1_2_3,chronic,PHE-0003,0.20,always,0.20,-0.05,0.50,0.45,28937959;31424532,,2,"WHO, ADA, AAP, CDC endorse community water fluoridation at the US optimal level (~0.7 mg/L) with substantial caries-prevention evidence. The Bashash/Green findings reflect prenatal fluoride at >2.5 mg/L — above optimal fluoridation. The 2024 NTP monograph (PMID 39172715) reports a low-confidence association between fluoride exposure above 1.5 mg/L and lower IQ; below 1.5 mg/L the evidence is insufficient.",MEC-0001,pregnancy_only,filter_water_when_above_threshold_optimize_below_0_7mg_l,contested,2026-04-30T00:00:00+00:00,Bashash 2017 Environ Health Perspect (PMID 28937959) Mexico cohort and Green 2019 JAMA Pediatr (PMID 31424532) Canada cohort — IQ effects with maternal fluoride during pregnancy. Autism-specific signal extrapolated from IQ effect; less direct. Status: contested.
IEP-00020,gestational_organophosphate_pesticide_chronic,iatrogenic_environmental_dietary,organophosphate_chronic,trimester_1_2_3,chronic,PHE-0003,0.30,always,0.30,0.05,0.60,0.55,17520070;29701446,,2,,MEC-0001,pregnancy_only,minimize_pesticide_exposure_organic_diet_when_feasible,active,2026-04-30T00:00:00+00:00,Eskenazi 2007 Environ Health Perspect CHAMACOS (PMID 17520070) and Sagiv 2018 Environ Health Perspect (PMID 29701446) — prenatal organophosphate exposure + autism traits. Mechanism: AChE inhibition + mito + oxidative stress.
IEP-00021,measles_mmr_post_withdrawal_natural_experiment,vaccine_specific,mmr_thimerosal_free,6_24mo;2_6yr,standard,PHE-0003,0.0,always,0.0,-0.10,0.10,0.85,15877763;12421889;30831578;30986133;19128068,,5,,,no_avoidance_recommendation_for_population,STOP_WITH_CLINICIAN_only_for_individual_concerns,active,2026-04-30T00:00:00+00:00,"Honda 2005 J Child Psychol Psychiatry (PMID 15877763) Yokohama natural-experiment after MMR withdrawal — autism incidence continued to rise after MMR was withdrawn from schedule. Population-level evidence against MMR as causal at population level. Preserved as null-evidence baseline. Individual subgroup-conditional concerns route to STOP_WITH_CLINICIAN per atlas vaccine-policy framing. | v0.2 Move 3: primary_pmids strengthened with Madsen 2002 NEJM (PMID 12421889), Hviid 2019 Ann Intern Med (PMID 30831578), DeStefano 2019 Annu Rev Virol (PMID 30986133), Gerber & Offit 2009 Clin Infect Dis (PMID 19128068). Countervailing-evidence position is documented in atlas FOIA sources SRC-001415..001419 (not PMID-citeable); Wakefield 1998 retracted and excluded."
IEP-00022,vaccine_thimerosal_historical_pre_2001_us_pediatric,vaccine_specific,thimerosal_containing_vaccine_pre_2001,neonatal;0_6mo;6_24mo,cumulative_dose,PHE-0002,0.0,mito_vulnerable_classic,0.20,-0.20,0.55,0.30,14595043;12949291,15877763,1,Thimerosal was removed from US childhood vaccines (excluding some flu) by 2001 per a precautionary FDA/AAP position; subsequent large cohort studies (Verstraeten 2003 PMID 14595043; Madsen 2003) found no association between thimerosal exposure and autism. WHO continues to endorse thimerosal-containing multidose vaccines globally as safe.,MEC-0001,no_current_window_us_pediatric_thimerosal_phased_out,STOP_WITH_CLINICIAN_only,contested,2026-04-30T00:00:00+00:00,Verstraeten 2003 Pediatrics (PMID 14595043) and Madsen 2003 Pediatrics Danish thimerosal study (PMID 12949291) — population-level evidence against thimerosal as primary cause. Hannah Poling pattern: subgroup-conditional risk in mito-vulnerable subset preserved per atlas contested-evidence policy. Honda 2005 (15877763) further argues against general thimerosal causation. STATUS: contested per CLAUDE.md §1.1.
IEP-00023,vaccine_hep_b_birth_dose,vaccine_specific,hep_b_birth_dose,neonatal,standard,PHE-0002,0.0,mito_vulnerable_classic,0.30,-0.20,0.85,0.30,,,0,"WHO, AAP, ACIP recommend universal hepatitis B birth-dose vaccination. Vertical-transmission mortality reduction is well established and outside dispute. ACIP September 2025 review retained the universal birth-dose recommendation. Mainstream epidemiology shows no population-average autism association.",MEC-0001,defer_to_2_to_6_months_in_low_transmission_risk_families_per_HYP_0066,STOP_WITH_CLINICIAN_only,contested,2026-04-30T00:00:00+00:00,STATUS: contested per CLAUDE.md §1.1 + HYP-0066 framework. Population-average risk null in mainstream epi; conditional risk in mito-vulnerable subset (Hannah Poling pattern) preserved as evidence record. NO AVOID without family consent flag and clinical context. Recommendation type STOP_WITH_CLINICIAN always for vaccine-related outputs per audit M-17. Specific PMID-grounded subgroup-conditional row pending Phase 4.
IEP-00024,vaginal_seeding_post_csection,non_iatrogenic_intervention_for_csection,vaginal_seeding_or_probiotic_post_csection,intrapartum;neonatal,any,PHE-0004,-0.20,always,-0.20,-0.45,0.05,0.45,39928324,,1,,MEC-0008,not_applicable_this_is_an_intervention_not_an_avoidance,consider_with_obstetric_supervision,active,2026-04-30T00:00:00+00:00,Hourigan 2025 JAMA Pediatr (PMID 39928324) — vaginal seeding may improve health outcomes in cesarean-delivered infants via microbiome restoration. Negative log-odds shift = reduces PHE-0004 risk. Listed in iatrogenic table as the avoidance-counterpart to elective C-section's microbiome perturbation effect.
IEP-00025,gestational_snri_any,snri,venlafaxine_duloxetine_levomilnacipran,trimester_1_2_3,any,PHE-0003,0.18,always,0.18,-0.05,0.45,0.35,28418480;26660917,28418479,1,"ACOG and APA consider SNRIs (venlafaxine, duloxetine) compatible with pregnancy when clinically indicated, with the same indication-confounded risk-benefit framing as SSRIs.",MEC-0002,pregnancy_only,use_alternative_class_when_safer_options_exist,contested,2026-04-30 00:00:00+00:00,[H-8 audit fix] SNRI class — Brown 2017 JAMA (PMID 28418480) sibling-control 'serotonergic antidepressant' encompasses both SSRI and SNRI. Boukhris 2016 JAMA Pediatr (PMID 26660917) class-level antidepressant pregnancy-autism. Sujan 2017 JAMA (PMID 28418479) sibling-control countervailing. SNRI evidence base less independent than SSRI; treat similarly with same CONSIDER framing as IEP-00001. Mechanism (serotonin morphogen perturbation) is proposed not directly demonstrated. CONSIDER not AVOID. Untreated severe maternal depression has its own substantial fetal/neonatal risks.
IEP-00026,vaccine_cumulative_aluminum_adjuvant_population_average,vaccine_specific,aluminum_adjuvant_in_pediatric_vaccine_schedule,neonatal;0_6mo;6_24mo,cumulative_per_pediatric_schedule,PHE-0002,0.0,always,0.0,-0.2,0.2,0.5,22001122;40658954,26948677;41468671,0,"FDA, WHO, EMA conclude aluminum adjuvants in pediatric vaccines remain below toxicokinetic harm thresholds (Mitkus 2011 PMID 22001122). Andersson 2025 Ann Intern Med Danish nationwide cohort (PMID 40658954) found no association between cumulative aluminum-adsorbed-vaccine exposure and chronic-disease outcomes.",MEC-0032,no_avoidance_recommendation_at_population_average_level,STOP_WITH_CLINICIAN_only_for_individual_concerns,contested,2026-04-30 00:00:00+00:00,[H-3 audit fix] Population-average row for cumulative aluminum-adjuvant exposure across the US pediatric vaccine schedule. Mitkus 2011 Vaccine (PMID 22001122) — pharmacokinetic modeling that cumulative aluminum body burden through pediatric vaccination remains below FDA minimum-risk-level estimates. Population-average evidence supports null. STATUS: contested per CLAUDE.md §1.1. Atlas preserves contested-evidence record. Routes to PHE-0002 (mitochondrial) because aluminum mechanism (MEC-0032) couples to mito-toxicity. Recommendation type STOP_WITH_CLINICIAN always for vaccine-related outputs per audit M-17. Subgroup-conditional row IEP-00027 below. | v0.2 Move 3: primary_pmids strengthened with Andersson 2025 Ann Intern Med Danish nationwide cohort (PMID 40658954). Countervailing-evidence-position populated with Gherardi 2016 Morphologie (PMID 26948677) and Crépeaux 2026 J Trace Elem Med Biol (PMID 41468671) per epistemic balance requirement.
IEP-00027,vaccine_cumulative_aluminum_adjuvant_mito_vulnerable_subgroup,vaccine_specific,aluminum_adjuvant_in_pediatric_vaccine_schedule,neonatal;0_6mo;6_24mo,cumulative_per_pediatric_schedule,PHE-0002,0.0,mito_vulnerable_classic,0.25,-0.3,0.85,0.3,23932735,22001122,0,Same as IEP-00026 (this row encodes a subgroup-conditional alternative framing). Mainstream consensus per FDA/WHO/EMA: aluminum adjuvants in pediatric vaccines are safe at scheduled doses; the population-average association with chronic disease in nationwide cohort data is null (Andersson 2025 PMID 40658954).,MEC-0032,no_avoidance_at_population_level_consider_spaced_schedule_in_mito_vulnerable_subset,STOP_WITH_CLINICIAN_only,contested,2026-04-30 00:00:00+00:00,[H-3 audit fix] Subgroup-conditional row for cumulative aluminum adjuvant in mito-vulnerable subset. Shaw 2013 J Inorg Biochem (PMID 23932735) — vaccine-relevant aluminum doses in neonatal mice associated with neurobehavioral changes. Mitkus 2011 (PMID 22001122) population-average safety counterargument in countervailing. Pre-clinical-only evidence + animal model — wide credal interval reflects uncertainty. STATUS: contested per CLAUDE.md §1.1 + Hannah Poling framework principle 6. Atlas preserves both as evidence record. Recommendation: never AVOID without explicit family consent flag and clinical context per audit M-17. STOP_WITH_CLINICIAN framing for any vaccine-related output.
