id,name,category,subcategory,alternate_names,sample_type,units,reference_low,reference_high,reference_optimal_low,reference_optimal_high,age_caveat,what_it_measures,elevated_means,low_means,test_availability,test_cost_usd_low,test_cost_usd_high,turnaround_days,clia_status,lab_options,snp_dependence,interpretation_summary,mechanisms_indicated,phenotypes_stratified,interventions_modulates,hypotheses_tests,key_pmids,created_at,last_updated,notes
BIO-0013,Pyridoxal-5-phosphate (P5P / active B6),methylation_cycle,cofactor,,plasma,ng/mL,5,50,,,,"Active B6 form; cofactor for >100 enzymes including transsulfuration, kynurenine pathway",,B6 cofactor insufficiency; pyroluria risk if low,commercial,,,,CLIA,,,,"MEC-0003,MEC-0023",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0014,Whole-blood histamine,methylation_cycle,biotype_proxy,,whole_blood,ng/mL,40,80,,,,Walsh biotype proxy — methylation status indicator,Overmethylator phenotype likely,Undermethylator phenotype likely,specialty_clinical,,,,,"Direct Healthcare, ALCAT",,Per Walsh biotyping; used clinically since 1970s,"MEC-0003,MEC-0017",,INT-0001,HYP-0001,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0015,FRAA (folate receptor alpha autoantibody) — blocking,folate_receptor,autoantibody,,serum,pmol/mL FBA,0,0.5,,,,Autoantibody blocking folate transport across blood-brain barrier,Cerebral folate deficiency likely; leucovorin candidate,,specialty_research_lab,200,400,,,Religious Sisters of Mercy / Ramaekers lab; some commercial,,The single most important biomarker for predicting leucovorin response in autism,"MEC-0003,MEC-0004",PHE-0001,INT-0001,HYP-0001,27752075,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Frye 2018 RCT used this stratification. ~70-75% of autistic children FRAA+.
BIO-0016,FRAA (folate receptor alpha autoantibody) — binding,folate_receptor,autoantibody,,serum,pmol/mL FRA,0,2.0,,,,Autoantibody binding (not necessarily blocking) folate receptor,,,commercial,,,,,Religious Sisters of Mercy,,Less specific than blocking but useful when blocking is borderline,MEC-0004,PHE-0001,INT-0001,HYP-0001,27752075,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0017,CSF 5-MTHF,folate_receptor,cerebral_folate_direct,,cerebrospinal_fluid,nmol/L,40,180,,,,Direct measurement of cerebral folate; gold-standard for cerebral folate deficiency diagnosis,,Cerebral folate deficiency confirmed; high-dose leucovorin indicated,research_or_specialist,,,,CLIA,,,Invasive (lumbar puncture); reserved for confirmed clinical suspicion. CSF/serum ratio <1 is diagnostic for transport defect.,"MEC-0003,MEC-0004",PHE-0001,INT-0001,HYP-0001,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Diagnostic gold standard but invasive. Most workups stop at FRAA + clinical response trial.
BIO-0018,Lactate,mitochondrial,anaerobic_shift,,plasma,mmol/L,0.5,2.2,,,,Anaerobic metabolism marker; rises when oxidative phosphorylation can't meet ATP demand,Mitochondrial dysfunction; pyruvate dehydrogenase deficiency; respiratory chain defect,,standard_clinical,20,60,,CLIA,,,Compare resting vs post-exertion; resting elevation more concerning,MEC-0010,PHE-0002,,"HYP-0006,HYP-0070",21263444,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0019,Pyruvate,mitochondrial,,,plasma,mmol/L,0.04,0.10,,,,Glycolysis end-product; substrate for pyruvate dehydrogenase,,,commercial,,,,CLIA,,,Always paired with lactate to compute L:P ratio,MEC-0010,,,"HYP-0006,HYP-0070",21263444,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0020,Lactate-to-pyruvate ratio (L:P),mitochondrial,oxphos_indicator,,plasma,ratio,10,25,,,,Most sensitive biochemical screen for respiratory-chain deficiency,L:P > 25 suggests OXPHOS / respiratory chain dysfunction,,commercial,,,,,,,More informative than lactate alone; primary screen for mito disease,MEC-0010,PHE-0002,,"HYP-0006,HYP-0070",21263444,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Calibration anchor for HYP-0070.
BIO-0021,Acylcarnitine profile,mitochondrial,fatty_acid_oxidation,,plasma_or_dbs,μmol/L composite,,,,,,Fatty acid oxidation defects; carnitine metabolism,"Specific patterns indicate specific FAO defects (MCAD, VLCAD, etc.)",,standard_clinical,,,,CLIA,,,Newborn-screen tier panel; covers ~40 individual species,MEC-0010,PHE-0002,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0022,Free + total carnitine,mitochondrial,cofactor,,plasma,μmol/L,35,80,,,,Carnitine substrate sufficiency for fatty acid transport into mitochondria,,Carnitine deficiency; supplementation indicated,commercial,,,,CLIA,,,,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0023,Plasma ammonia,mitochondrial,urea_cycle,,plasma,μmol/L,0,50,,,,Urea cycle / mitochondrial nitrogen disposal,"Urea cycle defect, valproate toxicity, mitochondrial overflow",,commercial,,,,CLIA,,,,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0024,Creatine kinase (CK),mitochondrial,muscle_metabolism,,serum,U/L,30,200,,,,Muscle damage / mitochondrial myopathy marker,Mitochondrial myopathy possible; rule out other causes,,standard_clinical,,,,CLIA,,,,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0025,CoQ10 (ubiquinone),mitochondrial,cofactor,,plasma,μg/mL,0.5,2.0,,,,Respiratory chain electron carrier; statin-depletable,,CoQ10 supplementation indicated; statin-induced or primary deficiency,commercial,120,200,,,,,,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0026,mtDNA copy number,mitochondrial,quantitative_genetics,,whole_blood_or_buccal,ratio,,,,,,Mitochondrial DNA quantity per cell; depletion = less ATP capacity,,,specialty_research,,,,,,,Research-grade; specialty mito-disease centers,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0027,Krebs cycle metabolites (citrate/succinate/fumarate/malate),mitochondrial,oxphos_intermediates,,urine_oat,μmol/g creatinine composite,,,,,,OAT panel coverage of citric acid cycle; abnormal patterns indicate specific complex deficiencies,,,commercial,,,,,"Mosaic OAT, Genova ION",,Mosaic OAT covers these as standard panel components,MEC-0010,,,HYP-0006,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0028,Reduced glutathione (GSH),oxidative_stress,antioxidant,,rbc_or_whole_blood,μmol/L,900,1500,,,,Active reduced glutathione; brain's primary antioxidant,,Antioxidant depletion; oxidative stress; NAC + glycine + glutamine indicated,specialty_clinical,,,,,,,,MEC-0001,,INT-0001,HYP-0063,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0029,Oxidized glutathione (GSSG),oxidative_stress,,,rbc_or_whole_blood,μmol/L,20,50,,,,Oxidized glutathione fraction,Oxidative stress consuming reduced glutathione,,commercial,,,,,,,,MEC-0001,,,HYP-0063,15585776,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0030,GSH/GSSG ratio,oxidative_stress,redox_status,,rbc_or_whole_blood,ratio,20,100,50,,,Redox status — most informative single oxidative stress biomarker,,Significant oxidative stress; antioxidant intervention high priority,commercial,,,,,,,,MEC-0001,,,HYP-0063,"15585776,19056591",2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,James 2004/2009 framework primary biomarker.
BIO-0031,8-hydroxy-2-deoxyguanosine (8-OHdG),oxidative_stress,dna_oxidation,,urine_24h,μg/g creatinine,0,10,,,,Oxidative DNA damage marker,Genomic oxidative stress; antioxidant intervention indicated,,specialty_clinical,,,,,"Mosaic, Doctor's Data, Genova",,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0032,F2-isoprostanes,oxidative_stress,lipid_peroxidation,,urine_or_plasma,ng/mL,,,,,,Lipid peroxidation marker; arachidonic acid oxidation product,Lipid oxidative damage; high omega-3 + antioxidants,,research_to_specialty,,,,,,,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0033,Malondialdehyde (MDA),oxidative_stress,lipid_peroxidation,,serum,μmol/L,,,,,,Lipid peroxidation breakdown product,Lipid oxidative stress active,,commercial,,,,,,,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0034,Superoxide dismutase (SOD) activity,oxidative_stress,antioxidant_enzyme,,rbc,U/g Hb,,,,,,Mn-SOD + Cu/Zn-SOD enzymatic activity,,Reduced antioxidant defense capacity,specialty_clinical,,,,,,,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0035,Total antioxidant capacity (TEAC/TAC),oxidative_stress,composite,,serum,mmol Trolox eq/L,,,,,,Composite antioxidant defense capacity,,Net antioxidant insufficiency,commercial,,,,,,,,MEC-0001,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0036,Arabinose,oat_microbial,fungal_marker,,urine,mmol/mol creatinine,,29,,,,Yeast/Candida fermentation product; primary fungal overgrowth marker,Candida overgrowth; antifungal protocol candidate,,commercial,300,400,,,"Mosaic OAT, Great Plains Lab",,,MEC-0008,PHE-0004,"INT-0025,INT-0076","HYP-0007,HYP-0061",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Shaw William framework. Most-clinically-actionable single OAT marker.
BIO-0037,HPHPA (3-(3-hydroxyphenyl)-3-hydroxypropionic acid),oat_microbial,clostridia_marker,,urine,mmol/mol creatinine,,220,,,,Clostridia metabolite; inhibits dopamine beta-hydroxylase,Clostridia overgrowth; behavioral/dopamine effects; targeted antibiotic candidate,,commercial,,,,,Mosaic OAT,,,"MEC-0008,MEC-0024",PHE-0004,"INT-0076,INT-0025","HYP-0007,HYP-0057,HYP-0060",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0038,4-cresol (p-cresol),oat_microbial,clostridia_marker,,urine,mmol/mol creatinine,,,,,,Aromatic-amino-acid Clostridia metabolite; behavioral severity correlate,Clostridia overgrowth; correlates with autism severity scores,,commercial,,,,,Mosaic OAT,,,MEC-0024,PHE-0004,"INT-0076,INT-0025","HYP-0007,HYP-0057,HYP-0060",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0039,Tartaric acid,oat_microbial,fungal_marker,,urine,mmol/mol creatinine,,,,,,Fungal fermentation product,Fungal/yeast overgrowth,,commercial,,,,,Mosaic OAT,,,MEC-0008,,INT-0025,HYP-0061,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0040,Citramalic acid,oat_microbial,fungal_marker,,urine,mmol/mol creatinine,,,,,,Fungal metabolite,Fungal overgrowth,,commercial,,,,,Mosaic OAT,,,,,,HYP-0061,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0041,Indican,oat_microbial,bacterial_putrefaction,,urine,qualitative or quantitative,,,,,,Bacterial tryptophan putrefaction product,Bacterial overgrowth + protein putrefaction in gut,,commercial,,,,,"Mosaic OAT, Great Plains",,,MEC-0008,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0042,Hippuric acid,oat_microbial,microbial_aromatic,,urine,mmol/mol creatinine,,,,,,Microbial benzoate metabolism,,,commercial,,,,,Mosaic OAT,,Variable interpretation; depends on diet + microbial composition,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0043,Indol-3-acetic acid (IAA),oat_microbial,tryptophan_microbial,,urine,mmol/mol creatinine,,,,,,Tryptophan-derived microbial metabolite (AhR ligand),,,commercial,,,,,Mosaic OAT,,,MEC-0023,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0044,"3,4-dihydroxyphenylpropionic acid (DHPPA)",oat_microbial,clostridia_marker,,urine,mmol/mol creatinine,,,,,,Clostridia tyrosine metabolite,,,commercial,,,,,Mosaic OAT,,,,,INT-0076,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0045,3-Hydroxy-2-methylbutyric acid,oat_microbial,bacterial_overgrowth,,urine,mmol/mol creatinine,,,,,,Bacterial branched-chain amino acid metabolism,,,commercial,,,,,Mosaic OAT,,,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0046,Homovanillic acid (HVA),oat_neurotransmitter,dopamine_metabolite,,urine,mmol/mol creatinine,,,,,,Dopamine end-metabolite; dopaminergic tone,,,commercial,,,,,Mosaic OAT,,Pair with VMA; HPHPA can artificially lower HVA via DBH inhibition,MEC-0007,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0047,Vanillylmandelic acid (VMA),oat_neurotransmitter,norepinephrine_metabolite,,urine,mmol/mol creatinine,,,,,,Norepinephrine end-metabolite,,,commercial,,,,,Mosaic OAT,,,MEC-0007,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0048,5-hydroxyindoleacetic acid (5-HIAA),oat_neurotransmitter,serotonin_metabolite,,urine,mmol/mol creatinine,,,,,,Serotonin end-metabolite; serotonin pathway readout,,,commercial,,,,,Mosaic OAT,,,MEC-0023,,,HYP-0062,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0049,Quinolinic acid,oat_neurotransmitter,kynurenine_pathway,,urine,mmol/mol creatinine,,,,,,Kynurenine-pathway NMDA agonist; neurotoxic at elevation,Pro-inflammatory kynurenine shift; tryptophan diverted away from serotonin,,commercial,,,,,Mosaic OAT,,,"MEC-0023,MEC-0020",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0050,Kynurenic acid,oat_neurotransmitter,kynurenine_pathway,,urine,mmol/mol creatinine,,,,,,Kynurenine-pathway NMDA antagonist; neuroprotective,,,commercial,,,,,,,QUIN/KYNA ratio is most informative for inflammation-driven shift,MEC-0023,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0051,Kynurenine/tryptophan ratio,oat_neurotransmitter,ido_activity,,plasma,ratio,,,,,,IDO/TDO activity; inflammation-driven tryptophan depletion,Inflammation diverting tryptophan to kynurenine pathway,,commercial,,,,,,,,"MEC-0002,MEC-0023",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0052,High-sensitivity CRP (hs-CRP),immune_inflammatory,acute_phase,,serum,mg/L,,3.0,,1.0,,Systemic inflammation,Active inflammation; >3 = high cardiovascular + neurodevelopmental risk,,standard_clinical,20,50,,CLIA,,,,MEC-0002,,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0053,ESR (erythrocyte sedimentation rate),immune_inflammatory,acute_phase,,whole_blood,mm/hr,,,,,,Indirect inflammation marker; less specific than CRP,,,commercial,,,,CLIA,,,,MEC-0002,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0054,IL-6 (interleukin-6),immune_inflammatory,cytokine,,serum,pg/mL,,5,,,,Pro-inflammatory cytokine; elevated in many ASD subgroups,Active inflammation; cell therapy responder profile per Dawson 2020 subgroup analysis,,specialty_clinical,,,,,,,,"MEC-0002,MEC-0005",,"INT-0102,INT-0006",HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0055,TNF-α (tumor necrosis factor alpha),immune_inflammatory,cytokine,,serum,pg/mL,,,,,,Master pro-inflammatory cytokine; central node in autism inflammation networks,Active TNF-driven inflammation,,specialty_clinical,,,,,,,,"MEC-0002,MEC-0005",,"INT-0102,INT-0006",HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0056,IL-1β (interleukin-1 beta),immune_inflammatory,cytokine,,serum,pg/mL,,,,,,NLRP3-inflammasome cytokine; microglial activation,,,commercial,,,,,,,,"MEC-0002,MEC-0005",,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0057,IL-17,immune_inflammatory,cytokine,,serum,pg/mL,,,,,,Th17 axis; IL-17a drives autoimmune-spectrum inflammation,,,commercial,,,,,,,,MEC-0002,,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0058,IL-10,immune_inflammatory,cytokine,,serum,pg/mL,,,,,,Anti-inflammatory cytokine; Treg activity proxy,,Inadequate immune regulation,commercial,,,,,,,,MEC-0002,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0059,IFN-γ (interferon gamma),immune_inflammatory,cytokine,,serum,pg/mL,,,,,,Th1 axis; chronic-infection / cellular-immunity marker,,,commercial,,,,,,,,MEC-0002,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0060,"Complement C3, C4",immune_inflammatory,complement,,serum,mg/dL,,,,,,"Complement system activity; neuroinflammation marker (C1q, C3 elevated in ASD postmortem)",,,commercial,,,,CLIA,,,,"MEC-0002,MEC-0005",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0061,Total IgG / IgA / IgM / IgE + IgG subclasses,immune_inflammatory,immunoglobulin,,serum,mg/dL,,,,,,Humoral immunity status + atopic profile,,,commercial,,,,CLIA,,,Low IgA common in ASD; IgG subclass deficiency ↔ recurrent infection,MEC-0002,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0062,Tryptase (baseline),mast_cell,primary_diagnostic,,serum,ng/mL,,11.4,,,,Mast cell mediator; baseline elevation suggests mastocytosis/MCAS,>11.4 = abnormal; >20 = mastocytosis; ≥1.2x baseline + 2 ng/mL during flare = MCAS,,commercial,,,,CLIA,,,,MEC-0017,,,HYP-0008,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Theoharides framework. Most-specific single MCAS marker.
BIO-0063,N-methylhistamine (urinary),mast_cell,histamine_metabolite,,urine_24h,μg/g creatinine,,,,,,Histamine release marker; more stable than histamine itself,Mast cell or basophil histamine release,,specialty_clinical,,,,CLIA,,,,MEC-0017,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0064,Prostaglandin D2 metabolite (11β-PGF2α),mast_cell,prostaglandin,,urine_24h,ng/g creatinine,,,,,,Mast cell prostaglandin release,,,commercial,,,,CLIA,,,,MEC-0017,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0065,Chromogranin A,mast_cell,neuroendocrine,,serum,ng/mL,,,,,,Neuroendocrine cell + mast cell granule protein,,,commercial,,,,CLIA,,,,MEC-0017,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0066,Heparin (mast cell),mast_cell,granule_marker,,plasma,varies,,,,,,Mast cell granule heparin release,,,research,,,,,,,,,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0067,Anti-tubulin antibody (Cunningham Panel),pans_pandas,cunningham_panel,,serum,titer,,,,,,Anti-neuronal antibody cross-reacting with neuronal cytoskeleton,PANS/PANDAS likely; immune therapy candidate,,specialty,900,1100,,,Moleculera Biosciences,,,MEC-0002,,INT-0006,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Per Cunningham Madeleine framework. Composite score predicts immune-therapy response.
BIO-0068,Anti-lysoganglioside-GM1 antibody,pans_pandas,cunningham_panel,,serum,titer,,,,,,Anti-neuronal antibody cross-reacting with neuronal ganglioside,,,commercial,,,,,Moleculera,,,MEC-0002,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0069,Anti-dopamine D1 receptor antibody,pans_pandas,cunningham_panel,,serum,titer,,,,,,Anti-D1 receptor autoantibody,,,commercial,,,,,Moleculera,,,"MEC-0002,MEC-0007",,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0070,Anti-dopamine D2 receptor antibody,pans_pandas,cunningham_panel,,serum,titer,,,,,,Anti-D2 receptor autoantibody; correlates with OCD/tic features,,,commercial,,,,,Moleculera,,,"MEC-0002,MEC-0007",,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0071,CaMKII activation,pans_pandas,cunningham_panel,,serum,% activation,,,,,,Calcium/calmodulin-dependent kinase II activation by patient serum on neuronal cells; composite functional readout of Cunningham Panel,Active anti-neuronal antibody-mediated dysfunction; immune therapy responder,,commercial,,,,,Moleculera,,Most-clinically-actionable single output of Cunningham Panel,MEC-0002,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,Reliability critique per Hesselmark 2019 — panel works best as confirmatory in clinically-suspected cases.
BIO-0072,ASO (antistreptolysin O),pans_pandas,strep_titer,,serum,IU/mL,,,,,,Recent or active group A strep infection,,,standard_clinical,,,,CLIA,,,Combined with anti-DNase B for full strep workup,MEC-0002,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0073,Anti-DNase B,pans_pandas,strep_titer,,serum,IU/mL,,,,,,Strep infection marker; rises later than ASO,,,commercial,,,,CLIA,,,,MEC-0002,,,HYP-0026,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0074,Hair mercury,heavy_metals,long_term_exposure,,hair,μg/g,,,,,,Long-term mercury exposure (months); reflects body-burden,,,commercial,80,150,,,"Doctor's Data, Quicksilver Scientific",,Hair > urinary for chronic exposure assessment,"MEC-0001,MEC-0010",,,"HYP-0015,HYP-0069",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0075,Hair lead,heavy_metals,long_term_exposure,,hair,μg/g,,,,,,Long-term lead exposure,,,commercial,,,,,Doctor's Data,,,MEC-0001,,,HYP-0015,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0076,Urine mercury (provoked or unprovoked),heavy_metals,excretion,,urine,μg/g creatinine,,,,,,Acute mercury excretion; provoked test (DMSA challenge) reveals body-burden,,,commercial,,,,,"Doctor's Data, Quicksilver, Genova",,Provoked vs unprovoked interpretation differs substantially,"MEC-0001,MEC-0010",,,"HYP-0015,HYP-0069",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
