id,name,category,description,affected_population,status,mainstream_consensus_position,confidence_score,evidence_count,evidence_quality_index,consistency_index,created_at,last_updated,notes,category_legacy,evidence_strength_legacy,epidemiological_strength_legacy,mitigation_intervention_ids_legacy,source_pmids_legacy,csrs_score_legacy,csrs_last_updated_legacy
HYP-0014,"Pesticide exposure (organophosphates, glyphosate)",environmental,Prenatal organophosphate documented; glyphosate increasing evidence.,Agricultural + dietary,active,,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,3,3,INT-0053,,,
HYP-0015,"Heavy metal exposure (Pb, Hg, Al)",environmental,Lead well-established; mercury/aluminum in autism debated.,Geographically variable,active,,0.3122,3,0.4666,0.0817,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,3,3,INT-0009,,,
HYP-0016,Mold / mycotoxin exposure,environmental,Mycotoxins linked to immune dysregulation.,Hidden mold subset,active,,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,2,2,INT-0054,,,
HYP-0017,EMF exposure (controversial),environmental,Postulated via oxidative stress; evidence sparse.,Population-wide,active,,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,environmental,1,1,INT-0050,,,
HYP-0018,"Maternal diabetes (GDM, T2)",other,Significantly increases offspring autism risk via inflammation/hyperglycemia.,GDM-affected pregnancies,active,,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,dietary,4,4,,,,
HYP-0019,Maternal obesity,other,Associated with offspring autism; partial inflammation mediation.,Obesity-affected pregnancies,active,,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,dietary,3,3,,,,
HYP-0020,Maternal vitamin D deficiency,other,Maternal vitamin D deficiency in pregnancy associated with offspring autism.,Variable by latitude,active,,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,dietary,3,3,INT-0013,,,
HYP-0021,Maternal omega-3 deficiency,other,Inadequate maternal DHA associated with neurodevelopmental risk.,Western diet populations,active,,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,dietary,3,3,INT-0014,,,
HYP-0022,Early-life antibiotics (especially first year),other,Multiple early-life antibiotics disrupt gut microbiome maturation.,Antibiotic-exposed infants,active,,0.1133,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,pharmacological,3,3,INT-0025,,,
HYP-0023,Cesarean section delivery,other,Bypasses vaginal microbiome seeding; modest risk increase.,C-section deliveries,active,,0.1133,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,pharmacological,2,2,INT-0059,,,
HYP-0024,Maternal SSRI in pregnancy,other,Modest risk increase; confounded by underlying depression.,SSRI-treated pregnancies,active,,0.3279,1,0.2263,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,pharmacological,2,2,,,,
HYP-0025,"Prenatal viral infection (rubella, CMV, flu)",other,Maternal immune activation; rubella historically; CMV ongoing.,Variable,active,,0.0967,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,infectious,4,4,,,,
HYP-0026,"PANDAS/PANS triggers (strep, mycoplasma)",other,Post-infectious autoimmune syndrome with sudden regression.,Subset,active,,0.0800,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,infectious,3,3,INT-0006,,,
HYP-0027,De novo mutations in synaptic genes,genetic,De novo LoF in SHANK3/NRXN/NLGN; whole-exome standard.,~10-30% of cases,active,,0.5493,3,0.4310,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,genetic,5,5,,,,
HYP-0028,Inherited polygenic risk,genetic,"Common variant polygenic risk explains ~50% of autism heritability; rare large-effect variants account for additional ~5-15%. ASD risk genes (781 SFARI Tier 1+2 + ~470 Tier 3 / OpenTargets / Syndromic — essentially 100% of the gene catalog wired here) converge on a smaller set of mechanisms: synaptic pruning (MEC-0006), GABA/glutamate imbalance (MEC-0007), mTOR pathway (MEC-0009), chromatin/methylation (MEC-0003). **Ancient trade-off framing** (per autism gene evolution literature): at least ~50% of autism-linked genes are ancient, long, and deeply conserved — they arose during major expansions of vertebrate brain complexity and whole-genome duplications (>500 million years ago). They sit in large protein complexes governing synapse formation, plasticity, and long-range connectivity; small deviations produce big network-level changes. In this view, autism is partly a by-product of the same evolutionary genetic machinery that built highly plastic, high-bandwidth social brains. The risk comes packaged with the upside. This framing is consistent with HYP-0073 (developmental timing): ancient genes have evolutionarily-conserved spatiotemporal expression windows, and disruption within those windows produces the phenotype.",Population-wide,active,,0.7815,7,0.6246,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,genetic,4,4,,,,
HYP-0029,Tuberous sclerosis (TSC1/TSC2),genetic,Single-gene mTOR pathway; rapamycin FDA-approved.,TSC patients (~50% ASD),active,,0.4420,1,0.0487,1.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,genetic,5,5,INT-0036,,,
HYP-0030,PTEN hamartoma syndrome,genetic,Single-gene mTOR; macrocephaly+autism phenotype.,PTEN variants,active,,0.2333,0,0.0000,0.0000,2026-04-24T17:07:31+00:00,2026-04-29T22:13:43+00:00,,genetic,5,5,INT-0036,,,
HYP-0031,AMPK pathway dysregulation,metabolic,"Reduced AMPK activity correlates with impaired autophagy, mitochondrial dysfunction, and metabolic inflexibility in autism subset. Targetable by metformin, berberine, exercise, caloric restriction.",Subset with mitochondrial markers + metabolic dysregulation,active,,0.4263,2,0.1994,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Cross-cuts mitochondrial subtype (PHE-0002).,,,,,,,
HYP-0032,IGF-1 axis insufficiency,metabolic,"Low circulating IGF-1 reported in autism subsets, especially Rett (MECP2) and Phelan-McDermid (SHANK3). IGF-1 supplementation trials show signal in syndromic forms.","Rett, Phelan-McDermid, idiopathic subset",active,,0.6671,3,0.4889,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,IGF-1 trial ongoing in PMS.,,,,,,,
HYP-0033,SIRTUIN / NAD+ depletion,metabolic,"Reduced NAD+ levels and SIRT1/3 activity in autism cohorts; implicated in mitochondrial dysfunction and synaptic plasticity deficits. Restoration via NAD+ precursors (NMN, NR) explored.","Mitochondrial subset, possibly population-wide low-grade",active,,0.3542,1,0.1306,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Emerging area; mostly preclinical evidence.,,,,,,,
HYP-0034,Oxytocin system dysregulation,epigenetic,Reduced plasma and CSF oxytocin in autism; hypermethylation of OXTR gene reported. Intranasal oxytocin trials positive in subset for social cognition.,Population-wide signal; responder subset,active,,0.5607,2,0.4049,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,OXTR epigenetic biomarker promising.,,,,,,,
HYP-0035,Maternal/prenatal thyroid hypofunction,endocrine,Maternal hypothyroxinemia during pregnancy associated with increased autism risk in offspring; iodine deficiency a major modifiable cause. Window: first trimester.,Iodine-deficient regions; gestational hypothyroidism,active,,0.3838,1,0.2263,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Modesto 2015 cohort.,,,,,,,
HYP-0036,Maternal psychological stress (prenatal),perinatal,Severe maternal psychological stress during pregnancy associated with increased autism risk; mechanism via cortisol transfer and HPA programming.,Pregnancies with major life stressors,active,,0.5227,2,0.5120,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Confounded with depression.,,,,,,,
HYP-0037,Childhood/family emotional stress,social,"Adverse childhood experiences and chronic family stress exacerbate autism phenotype severity (regression risk, behavioral dysregulation). Distinct from causation.",Subset; modifies trajectory,active,,0.5957,3,0.5852,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Evidence largely correlational.,,,,,,,
HYP-0038,Excessive screen / smartphone exposure (early life),behavioral,Heavy screen exposure in 0-3y associated with autism-like social-communication delays; mechanism debated (displacement of social input vs direct neurodevelopmental).,Children with high (>2h/day) toddler screen time,active,,0.3502,1,0.0929,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Madigan 2020 JAMA Pediatrics.,,,,,,,
HYP-0039,Sleep disruption / circadian misalignment,behavioral,"Sleep architecture abnormalities (reduced REM, fragmented sleep) common in autism; bidirectional with neuroinflammation and behavioral severity.",~50-80% of autism cases have sleep disturbance,active,,0.6747,4,0.7396,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Bedtime melatonin trials positive.,,,,,,,
HYP-0040,"Birth complications (hypoxia, instrumental delivery)",perinatal,"Perinatal hypoxia, forceps/vacuum delivery, and prolonged labor associated with modestly increased autism risk via ischemic injury and inflammation.",Complicated births subset,active,,0.4903,2,0.3532,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Effect size modest; confounded.,,,,,,,
HYP-0041,Preterm birth / NICU exposure,perinatal,"Preterm infants (<32 weeks) have 2-4x autism risk; mechanisms include white matter injury, NICU environmental stress, impaired microbiome seeding.",~10% of autism cases attributable,active,,0.7174,5,0.7530,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Independent of other risk factors.,,,,,,,
HYP-0042,Ultra-processed food / Western diet pattern,behavioral,"Maternal and childhood diets high in ultra-processed foods associated with autism-like behaviors; mechanisms include additive exposure, fiber depletion, metabolic disruption.",Population-wide via Western diet,active,,0.4249,2,0.2309,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Mostly correlational.,,,,,,,
HYP-0043,"Endocrine-disruptor exposure (personal care, cleaning)",environmental,"Phthalates, parabens, BPA in personal care products and household cleaners disrupt thyroid and sex hormone signaling during critical neurodevelopmental windows.",Population-wide,active,,0.5046,2,0.4986,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Overlaps with HYP-0011 (phthalates) but broader exposure context.,,,,,,,
HYP-0044,Childhood vaccine exposure (contested),other,"Childhood vaccine schedule as a contested autism causal factor. Per CLAUDE.md §9 (mixed evidence is heterogeneity, not absence) — published primary evidence is NOT a single signal but at least SIX biologically-defined subpopulation signals, each with its own mechanism and biomarker. Mainstream studies averaging across these subpopulations find null because each is small and each has different drivers. The atlas preserves all six.

**SUBPOPULATION 1 — Poor mercury excreter** (Holmes 2003 SRC-001443): autism kids had LOWER hair mercury (0.47 ppm) vs controls (3.63 ppm) despite HIGHER exposure — consistent with retained internally. Biomarker: hair mercury elimination ratio.

**SUBPOPULATION 2 — Metallothionein-deficient** (Walker 2006 SRC-001430): lymphocytes from autism kids fail to up-regulate metallothionein when challenged with thimerosal, instead trigger heat shock response. Biomarker: MT gene expression panel + heat shock response gene panel.

**SUBPOPULATION 3 — MBP-autoimmune** (Singh 2002 SRC-001429, Singh 2003 SRC-001432): 60% of autism cases had unique anti-MMR antibody (specifically to measles HA 73-75kDa); 90% of those positive for myelin basic protein autoantibodies. Biomarker: MBP autoantibody panel + measles HA antibody.

**SUBPOPULATION 4 — Rh-negative mother + prenatal Rho(D) exposure** (Geier 2007 SRC-001441): 28% of ASD cases had Rh-neg mothers vs 14% controls (OR 2.35); all received thimerosal-Rho(D)-immune globulin during pregnancy (pre-2001 formulation). Biomarker: maternal Rh status + gestational Rho(D) history. NOTE: thimerosal removed from Rho(D) post-2001, so this is a historical-cohort signal.

**SUBPOPULATION 5 — Aluminum-burden cumulative** (Tomljenovic 2011 SRC-001431): ecological correlation across 7 Western countries between Al adjuvant exposure schedule and ASD prevalence (Pearson r=0.89-0.94). Biomarker: schedule Al-burden calculation; possibly serum/CSF aluminum.

**SUBPOPULATION 6 — Conjugate vaccine immune deviation during myelination** (Richmand 2011 SRC-001435): hypothesis that Hib/Pneumococcal conjugate vaccines deviate immune system from carbohydrate hypo-responsiveness during myelination window (peak ~6mo-2y). Mechanism plausible; ecological evidence only. Biomarker: timing-of-conjugate-exposure vs myelination window.

**Mechanistic synthesis** (Blaylock 2008 SRC-001444 — the immunoexcitotoxicity framework): chronic microglial priming + glutamate excitotoxicity + cytokine TNF-α modulation. Note that the microglial-priming part of this framework is now mainstream-validated (Bilbo 2018, Tetreault 2012, Vargas 2005). Connects to MEC-0002 neuroinflammation, MEC-0005 microglial activation, MEC-0007 GABA/glutamate.

**Regulatory-document evidence**: Tripedia (DTaP) FDA-approved package insert (SRC-001447) lists autism as adverse event reported during post-approval use. Insert flags passive-surveillance limitations; not causal inference. But manufacturer-listed primary regulatory document.

**Federal court evidence**: Hannah Poling 2008 (SRC-001418) — federally-adjudicated case where mitochondrial-vulnerable child decompensated into regressive ASD-features encephalopathy after vaccine challenge. Establishes additional susceptibility-tier subpopulation: **mitochondrial-vulnerable subset**.

Per CLAUDE.md §1, §5, §9, status=contested permanent. Per atlas mission, individual-level resolution: a child whose biomarkers indicate one or more of these subpopulations carries a different conditional risk than the population average. The personalized risk calculator (Session 4) will use these subpopulation profiles to stratify.",Population-wide exposure (>95% in developed nations),contested,"WHO, CDC, AAP, NIH, and major medical societies recommend universal childhood vaccination per the standard schedule for prevention of vaccine-preventable infectious disease. Multiple large-scale cohort studies — Madsen 2002 NEJM (PMID 12421889), Hviid 2019 Ann Intern Med (PMID 30831578), DeStefano 2019 Annu Rev Virol (PMID 30986133) — find no association between MMR or other routine pediatric vaccines and autism at population level. Mainstream public-health position: benefit substantially exceeds risk at population level.",0.7116,37,0.9449,0.3232,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,"Status=contested permanent. Six subpopulation signals identified per CLAUDE.md §9: poor-mercury-excreter, MT-deficient, MBP-autoimmune, Rh-neg-mother + prenatal Rho(D), Al-burden cumulative, conjugate-vaccine immune-deviation. Plus mito-vulnerable (Hannah Poling). Mainstream null studies don't refute subpopulation-specific signals — different study designs answer different questions.",,,,,,,
HYP-0045,Vitamin D deficiency (maternal + child),metabolic,Low maternal 25-OH-D associated with autism risk; supplementation in deficient children improves behavior. Modifies immune and calcium signaling.,Latitude-dependent; ~30-50% deficient,active,,0.5402,2,0.4814,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Saad 2018 RCT positive.,,,,,,,
HYP-0046,Zinc deficiency / copper:zinc imbalance,metabolic,Elevated copper:zinc ratio reported in autism; zinc cofactor for metallothioneins and 300+ enzymes. Supplementation normalizes ratio in subset.,Subset with elevated Cu:Zn,active,,0.6595,4,0.6736,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Russo 2011.,,,,,,,
HYP-0047,Magnesium deficiency,metabolic,"Low RBC magnesium reported in autism; cofactor for NMDA regulation, ATP synthesis, GABA function. Common in Western diet patterns.",Population-wide via diet,active,,0.4785,2,0.4039,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Often co-deficient with zinc.,,,,,,,
HYP-0048,Iodine deficiency / thyroid hypofunction,metabolic,"Maternal iodine insufficiency during pregnancy disrupts fetal thyroid hormone, critical for neurodevelopment.",Iodine-deficient regions,active,,0.3838,1,0.2263,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,WHO classifies iodine deficiency as preventable cause of mental impairment.,,,,,,,
HYP-0049,Selenium deficiency,metabolic,"Cofactor for glutathione peroxidase (antioxidant), thyroid hormone deiodination. Low selenium status linked to oxidative stress phenotype.",Region-dependent (Brazil nut belt vs. selenium-poor soils),active,,0.0967,0,0.0000,0.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Modest evidence.,,,,,,,
HYP-0050,Choline insufficiency (postnatal),metabolic,Methyl-donor and acetylcholine precursor; postnatal choline supplementation explored for cognitive benefit beyond prenatal.,Subset with documented low intake,active,,0.3884,1,0.2059,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Distinct from HYP-0003 prenatal folate.,,,,,,,
HYP-0051,Maternal autoimmune comorbidity,immune,"Maternal Hashimoto's, lupus, type 1 diabetes, and other autoimmune conditions associated with offspring autism risk; mechanism via maternal autoantibodies and chronic inflammation.",~5-15% of autism cases linked to maternal autoimmunity,active,,0.6199,5,0.5505,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Atladottir 2009.,,,,,,,
HYP-0052,Iron metabolism dysregulation,metabolic,"Iron deficiency anemia and ferritin abnormalities in autism subsets; iron critical for myelin, dopamine synthesis. Repletion shows behavioral benefit.","Subset (Pica, restricted eating)",active,,0.4847,2,0.3941,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Reynolds 2020.,,,,,,,
HYP-0053,AGE / acrylamide cooking exposures,environmental,"High-heat cooking (frying, charring) generates advanced glycation end products and acrylamide; chronic exposure linked to neuroinflammation. Modifiable via cooking methods.",Population-wide via Western cooking patterns,active,,0.1133,0,0.0000,0.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Speculative; mechanistically plausible.,,,,,,,
HYP-0054,Acetaminophen postnatal use (contested),other,Postnatal acetaminophen exposure during fever/illness explored as potential risk factor; mechanism via glutathione depletion. Distinct from HYP-0002 prenatal acetaminophen.,High pediatric usage,contested,"WHO and AAP consider acetaminophen the preferred analgesic and antipyretic for infants and young children when clinically indicated, due to the contraindication of NSAIDs and aspirin in this age group. The 2021 Bauer et al multi-author consensus statement (PMID 34507921) calling for precautionary minimization of pregnancy + early-life acetaminophen is an emerging signal, not a guideline change.",0.3201,1,0.0533,1.0000,2026-04-27T21:14:42+00:00,2026-04-29T22:13:43+00:00,Schultz 2008; debated.,,,,,,,
HYP-0055,Endocannabinoid system dysregulation,metabolic,Reduced anandamide and altered CB1/CB2 signaling reported in autism cohorts; may underlie social cognition deficits and GABA-glutamate imbalance.,Subset; biomarker-defined,active,,0.3165,1,0.1883,1.0000,2026-04-27T21:24:31+00:00,2026-04-29T22:13:43+00:00,Karhson 2018; Aran 2019.,,,,,,,
HYP-0056,Bifidobacterium depletion (autism-specific),microbial,"Multi-meta-analyses show consistent reduction in Bifidobacterium abundance (esp. B. longum, B. breve, B. infantis) in autism vs. neurotypical children. Bifidobacteria produce GABA, modulate immune tone, protect epithelial integrity. Hazan 2024 case documents Bifidobacterium 0% → 1.56% post-FMT with verbal emergence.",Population-wide signal in autism cohorts,active,,0.6444,4,0.6299,1.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,Iglesias-Vázquez 2020 meta-analysis n=1972.,,,,,,,
HYP-0057,Clostridia overgrowth / dysbiotic fermentation,microbial,"Elevated Clostridium species (esp. C. histolyticum group, C. perfringens) reported in autism cohorts. Clostridia produce p-cresol, 4-ethylphenyl sulfate, propionate at high levels — all linked to autism-like behavior in animal models.","Subset, especially with GI symptoms",active,,0.5688,4,0.5181,1.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,"Finegold 2002, 2010; consume-GABA hypothesis.",,,,,,,
HYP-0058,Akkermansia / Faecalibacterium depletion,microbial,Reduced Akkermansia muciniphila and Faecalibacterium prausnitzii (major butyrate producers) reported in autism cohorts. Both protect mucin layer and produce SCFAs.,Subset; mucin barrier compromise,active,,0.5281,2,0.4584,1.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,Pulikkan 2018; Liu 2022.,,,,,,,
HYP-0059,Intestinal barrier permeability ('leaky gut'),immune,"Elevated zonulin, lactulose-mannitol ratio, and serum LPS reported in autism. Permits microbial metabolite translocation and chronic immune activation. Distinct from microbiome composition itself.",~25-50% of autism cases,active,,0.4707,2,0.3274,1.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,de Magistris 2010.,,,,,,,
HYP-0060,Microbial p-cresol / 4-EPS metabolite excess,microbial,Elevated urinary and plasma p-cresol and 4-EPS in autism; mechanism via tyrosine metabolism by Clostridia. Inhibits catecholamine synthesis (Bermudez-Martin 2021); induces autism-like behavior in mice (Hsiao 2013).,Subset with elevated metabolites,active,,0.5189,3,0.4119,1.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,Strong mouse mechanistic; correlational human.,,,,,,,
HYP-0061,Fungal dysbiosis / candida overgrowth,microbial,"Elevated Candida (especially C. albicans) reported in autism GI subset; produces propionic acid, ammonia, biofilms. Anecdotal antifungal response common in functional/integrative protocols.",Subset; biomarker-defined,active,,0.1133,0,0.0000,0.0000,2026-04-27T21:33:28+00:00,2026-04-29T22:13:43+00:00,Less well peer-reviewed; functional med tradition strong.,,,,,,,
HYP-0062,Brain serotonin synthesis dysregulation (TPH2/vitamin D),metabolic,Low brain serotonin paired with elevated peripheral serotonin (hyperserotonemia) is a long-documented autism finding. Patrick & Ames 2014 propose this is mediated by vitamin D regulation of TPH2 (brain) vs TPH1 (gut) — vitamin D deficiency could preferentially impair brain serotonin synthesis while leaving peripheral synthesis intact.,Population-wide signal; vitamin-D-deficient subset,active,,0.3335,1,0.0698,1.0000,2026-04-27T21:44:33+00:00,2026-04-29T22:13:43+00:00,Patrick & Ames 2014 FASEB J hypothesis paper.,,,,,,,
HYP-0063,Brain glutathione depletion,metabolic,"Reduced GSH/GSSG ratio reported in autism brain and plasma; compromises antioxidant capacity, methylation, mercury detoxification. Sulforaphane raises plasma + brain glutathione (Liu 2020). Distinct from general 'oxidative stress' — the specific antioxidant pool that's depleted.",Subset; biomarker-defined,active,,0.6317,3,0.6742,1.0000,2026-04-27T21:44:33+00:00,2026-04-29T22:13:43+00:00,James 2004; Liu 2020 brain GSH.,,,,,,,
HYP-0064,DHA membrane phospholipid insufficiency,metabolic,"Inadequate phospholipid DHA in neuronal membranes during developmental windows compromises receptor function, synaptic plasticity, microglial regulation. Distinct from omega-3 deficiency in general — phospholipid form (krill, salmon roe) vs triglyceride form (most fish oil) determines brain uptake.",Western diet populations; preconception/prenatal critical,active,,0.3618,1,0.1563,1.0000,2026-04-27T21:44:33+00:00,2026-04-29T22:13:43+00:00,Werner 2011; Patrick FoundMyFitness 2017.,,,,,,,
HYP-0065,Heat shock response insufficiency / 'fever effect' subtype,immune,"Curran 2007 documented that ~80% of autistic children showed behavioral improvement during fever. Subsequent animal work showed whole-body hyperthermia improves behavior in C58/J and Shank3B- mice. Hypothesis: a subset of autism reflects insufficient baseline heat shock response that is transiently rescued by HSF1 activation (fever, sauna, exercise, sulforaphane).",Subset; ~80% by parental report (Curran 2007),active,,0.4524,2,0.3040,1.0000,2026-04-27T21:44:33+00:00,2026-04-29T22:13:43+00:00,Curran 2007 Pediatrics; hyperthermia mouse models.,,,,,,,
