formulation_id,parent_intervention_id,formulation_name,delivery_route,dose_form,bioavailability_factor,bioavailability_reference,formulation_evidence_status,mechanism_specificity_notes,responder_population_notes,contested_at_formulation_level,contested_at_molecule_level_only,evidence_links_count,created_at,last_updated
FRM-0024,INT-0006,Low-dose naltrexone transdermal cream,topical,cream,0.30,oral compounded reference 1.00,anecdotal_only,Transdermal compounded cream; lower absorption but anecdotal reports of efficacy in highly-sensitive children.,Severe sensory-sensitive children who cannot tolerate oral medication,false,true,0,2026-05-07,2026-05-07
FRM-0025,INT-0137,Vitamin D3 (cholecalciferol oil capsule),oral,oil capsule,1.00,D3 oil reference 1.00,established_RCT,Standard supplementation; multiple RCTs for deficiency correction. 25-OH-D target 30-50 ng/mL minimum.,Vitamin D deficient (25-OH-D <30); winter latitude; dark skin; obesity,false,false,0,2026-05-07,2026-05-07
FRM-0026,INT-0137,Vitamin D3 sublingual spray,sublingual,spray,0.85,D3 oil reference 1.00,mechanistic_only,Bypasses GI for malabsorbers; useful in IBD/cystic-fibrosis-overlap subset.,"Children with malabsorption phenotype (chronic diarrhea, low vitamin levels despite supplementation)",false,false,0,2026-05-07,2026-05-07
FRM-0027,INT-0137,Vitamin D2 (ergocalciferol),oral,capsule,0.30,D3 oil reference 1.00,contested,Less potent + shorter duration than D3; mostly historical.,Generally not preferred; some prescribers use for vegan dietary requirements,true,false,0,2026-05-07,2026-05-07
FRM-0028,INT-0044,Sulforaphane via broccoli sprout extract WITH myrosinase,oral,powder/capsule,1.00,broccoli sprout WITH myrosinase reference 1.00,established_RCT,Singh 2014 PNAS RCT (PMID 25313065) used GR-rich extract WITH active myrosinase. 9/26 = 35% responder rate vs 0% placebo.,Population-typical mild oxidative stress; no biomarker stratification in trial,false,false,0,2026-05-07,2026-05-07
FRM-0029,INT-0044,Sulforaphane via broccoli sprout extract WITHOUT myrosinase,oral,powder,0.30,broccoli sprout WITH myrosinase reference 1.00,contested,"Without myrosinase, glucoraphanin → sulforaphane conversion depends on gut bacteria. Variable bioavailability.",Subset with healthy gut bacteria converts adequately; subset with dysbiosis (Bifido/Prevotella low) converts poorly,true,true,0,2026-05-07,2026-05-07
FRM-0030,INT-0044,Avmacol (Pinnacle Biolabs commercial),oral,tablet,0.85,broccoli sprout WITH myrosinase reference 1.00,established_RCT,"Used in Zimmerman 2021 (PMID 34034808) — younger children, weaker effects than Singh 2014. Standardized commercial product.",Children too young for raw sprouts; need standardized dosing,false,false,0,2026-05-07,2026-05-07
FRM-0031,INT-0029,Quercetin dihydrate,oral,capsule,0.05,quercetin phytosome reference 1.00,contested,Standard quercetin poor bioavail (~2-5%). Most negative RCTs used this form.,Cohort baseline; rarely effective alone,true,false,0,2026-05-07,2026-05-07
FRM-0032,INT-0029,Quercetin phytosome / liposomal,oral,phytosome capsule,1.00,quercetin phytosome reference 1.00,anecdotal_plus_mechanistic,20× bioavail vs standard; documented mast-cell stabilization at this absorption level.,MCAS-overlap subset; elevated IL-6/TNF; allergic-like symptoms,false,true,0,2026-05-07,2026-05-07
FRM-0033,INT-0029,Quercetin + bromelain (synergistic),oral,combination capsule,0.30,quercetin phytosome reference 1.00,mechanistic_only,Bromelain enzyme increases quercetin absorption + own anti-inflammatory effect.,MCAS or inflammation subset preferring enzyme support,false,false,0,2026-05-07,2026-05-07
FRM-0034,INT-0077,Bifidobacterium infantis EVC001,oral,powder,1.00,B. infantis EVC001 reference 1.00,established_RCT,Hsiao 2013 mouse model + clinical trials show specific strain-level effects. EVC001 strain reduces TLR/inflammatory markers.,GI cluster + microbiome dysbiosis (Bifido low at baseline); regressive immune-inflammatory subset,false,false,0,2026-05-07,2026-05-07
FRM-0035,INT-0078,L. reuteri DSM 17938,oral,drops,1.00,L. reuteri DSM 17938 reference 1.00,established_mechanistic,Buffington 2016 social behavior restoration in mouse models; single specific strain.,Social behavior phenotype; vagus-nerve modulation hypothesis,false,false,0,2026-05-07,2026-05-07
FRM-0036,INT-0025,VSL#3 / Visbiome (multi-strain),oral,powder/capsule,1.00,multi-strain reference 1.00,established_RCT,"8-strain blend; documented in IBS, IBD, ulcerative colitis. ASD use extrapolated.",GI cluster + dysbiosis; broad-spectrum support,false,false,0,2026-05-07,2026-05-07
FRM-0037,INT-0025,Generic multi-strain probiotic (drugstore),oral,capsule,0.40,multi-strain reference 1.00,contested,Strain identity often poorly characterized; CFU at point of consumption variable; storage matters.,Cohort baseline; limited clinical evidence for unspecified strains,true,false,0,2026-05-07,2026-05-07
FRM-0038,INT-0023,Bumetanide oral tablet (standard pharma),oral,tablet,1.00,oral pharma reference 1.00,established_RCT,Lemonnier 2017 Transl Psychiatry RCT (PMID 28291262). 0.5-2.0 mg b.i.d. over 90 days. Standard pharma loop diuretic.,High-Cl⁻ subset (hypothesis); engine v0.4 PHE-0007 driver coverage,false,false,0,2026-05-07,2026-05-07
FRM-0039,INT-0023,Bumetanide compounded liquid (pediatric),oral,liquid,0.95,oral pharma reference 1.00,anecdotal_only,Compounded liquid for children unable to swallow tablets.,Pediatric administration; same population as FRM-0038,false,false,0,2026-05-07,2026-05-07
FRM-0040,INT-0023,Bumetanide intranasal (research stage),intranasal,spray,0.50,oral pharma reference 1.00,mechanistic_only,Hypothesized direct CNS delivery bypassing systemic diuresis. Research/anecdotal.,Subset where systemic diuretic side-effects (electrolyte derangement) preclude oral,false,false,0,2026-05-07,2026-05-07
FRM-0041,INT-0046,Melatonin standard release oral,oral,tablet,1.00,oral standard reference 1.00,established_RCT,Wright 2011 J Autism Dev Disord (PMID 20535539). 2-10 mg titrated. Sleep latency reduction validated.,Severe dysomnia not amenable to behavioral management; sleep-axis phenotype,false,false,0,2026-05-07,2026-05-07
FRM-0042,INT-0046,Melatonin extended-release / controlled-release,oral,tablet,0.85,oral standard reference 1.00,established_RCT,Slow-release for sleep maintenance vs sleep onset. Wasdell 2008 documented benefit for sleep maintenance.,Sleep maintenance phenotype (frequent night wakenings) rather than sleep onset,false,false,0,2026-05-07,2026-05-07
FRM-0043,INT-0046,Melatonin sublingual,sublingual,liquid/spray,0.95,oral standard reference 1.00,mechanistic_only,Faster onset than oral; useful for severe sleep onset insomnia.,Severe sleep onset phenotype; older children/adolescents,false,false,0,2026-05-07,2026-05-07
FRM-0044,INT-0044,Cromolyn sodium oral (gut-targeted),oral,capsule,0.05,nasal spray reference 1.00,established_mechanistic,Poor systemic absorption; works locally on gut mast cells. Useful for MCAS-GI overlap.,MCAS subset with prominent GI symptoms; food-mediated reactivity,false,false,0,2026-05-07,2026-05-07
FRM-0045,INT-0044,Cromolyn nasal spray,intranasal,spray,1.00,nasal spray reference 1.00,established_RCT,Allergic rhinitis treatment; off-label for MCAS-respiratory.,MCAS subset with respiratory/airway symptoms,false,false,0,2026-05-07,2026-05-07
FRM-0046,INT-0044,Cromolyn inhaled / nebulized,inhaled,solution,0.95,nasal spray reference 1.00,established_RCT,Asthma treatment; off-label for chronic respiratory MCAS.,MCAS-asthma overlap; chronic respiratory inflammation,false,false,0,2026-05-07,2026-05-07
FRM-0047,INT-0011,L-carnosine (Chez 2002 formulation),oral,capsule,1.00,L-carnosine oral reference 1.00,established_RCT,Chez 2002 J Child Neurol (PMID 12585724) used 800 mg/day L-carnosine. GABA modulation via homocarnosine; frontal/temporal cortex protection.,GABA-axis subset; subclinical epileptiform EEG; valproic acid concomitant,false,false,0,2026-05-07,2026-05-07
FRM-0048,INT-0011,N-acetylcarnosine eye drops,topical,eye drops,0.05,L-carnosine oral reference 1.00,mechanistic_only,Ophthalmologic use for cataracts; minimal systemic absorption. NOT for autism systemic effects.,Ophthalmologic comorbidity only,false,true,0,2026-05-07,2026-05-07
FRM-0049,INT-0067,Magnesium glycinate (bisglycinate),oral,capsule,0.85,Mg glycinate reference 1.00,established_mechanistic,Chelated form; high bioavailability; well-tolerated; minimal GI side effects.,Mg-deficient subset; sleep + anxiety phenotype,false,false,0,2026-05-07,2026-05-07
FRM-0050,INT-0067,Magnesium L-threonate,oral,capsule,0.70,Mg glycinate reference 1.00,anecdotal_plus_mechanistic,Crosses BBB; brain-targeted Mg form. Documented hippocampal Mg increase in animal models.,Cognitive/memory phenotype; preferred for CNS-dominant Mg deficiency,false,false,0,2026-05-07,2026-05-07
FRM-0051,INT-0067,Magnesium oxide,oral,tablet,0.10,Mg glycinate reference 1.00,contested,Poor bioavailability (~4-10%); useful as laxative more than Mg supplementation.,GI cluster: useful for constipation but inadequate Mg repletion,true,false,0,2026-05-07,2026-05-07
FRM-0052,INT-0067,Magnesium chloride (transdermal oil/spray),topical,oil/spray,0.40,Mg glycinate reference 1.00,anecdotal_plus_mechanistic,Transdermal absorption documented but variable. Useful for children with severe oral intolerance.,Severe oral intolerance; sensory-sensitive children,false,true,0,2026-05-07,2026-05-07
