id,name,category,directionality,mechanism_summary,dose_range,cost_per_month_usd,otc_or_rx,pediatric_safe,csrs_score,csrs_last_updated,status,mainstream_consensus_position,created_at,last_updated,notes,targets_legacy,source_pmids_legacy,source_anecdote_ids_legacy,csrs_score_legacy,csrs_last_updated_legacy,csrs_prevention_score,csrs_prevention_last_updated,csrs_treatment_score,csrs_treatment_last_updated
INT-0011,L-carnitine,supplement,treatment,Carnitine deficiency in autism subset; supplementation restores mitochondrial fatty acid oxidation.,50-100 mg/kg/day,25,otc,yes,51.70,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mitochondrial fatty acid oxidation,21531920,,76.5,2026-04-24T13:11:52.804324+00:00,65.38,2026-06-24T18:46:42+00:00,53.03,2026-06-24T18:46:42+00:00
INT-0012,Coenzyme Q10 (ubiquinol),supplement,treatment,Mitochondrial cofactor; ubiquinol form preferred for absorption.,100-300 mg/day,30,otc,yes,49.51,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mitochondrial electron transport; antioxidant,26340301,,71.9,2026-04-24T13:11:52.804324+00:00,61.80,2026-06-24T18:46:42+00:00,51.67,2026-06-24T18:46:42+00:00
INT-0013,Vitamin D3,supplement,treatment,Maternal/postnatal vitamin D deficiency associated with autism risk; supplementation in deficient children improves behaviors.,1000-5000 IU/day,10,otc,yes,67.74,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,VDR; immune modulation,27228363;30022480,,78.2,2026-04-24T13:11:52.804324+00:00,75.10,2026-06-24T18:46:42+00:00,66.60,2026-06-24T18:46:42+00:00
INT-0014,Omega-3 (EPA + DHA),supplement,treatment,DHA critical for neurodevelopment; preconception/prenatal omega-3 reduces risk; postnatal modestly benefits behaviors.,1000-2000 mg combined,25,otc,yes,55.87,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,DHA; EPA; neuroinflammation,29161196,,86.5,2026-04-24T13:11:52.804324+00:00,68.05,2026-06-24T18:46:42+00:00,57.05,2026-06-24T18:46:42+00:00
INT-0015,Magnesium glycinate,supplement,treatment,Highly bioavailable form; calming effect on hyperactivity.,200-400 mg elemental/day,15,otc,yes,65.01,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NMDA modulation; GABA,,,70.7,2026-04-24T13:11:52.804324+00:00,73.17,2026-06-24T18:46:42+00:00,64.31,2026-06-24T18:46:42+00:00
INT-0016,Zinc (zinc picolinate),supplement,treatment,Zinc deficiency / elevated copper:zinc ratio in autism subset; supplementation normalizes ratio.,20-30 mg/day,10,otc,yes,60.61,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,metallothionein; copper:zinc balance,21461562,,76.8,2026-04-24T13:11:52.804324+00:00,66.86,2026-06-24T18:46:42+00:00,49.47,2026-06-24T18:46:42+00:00
INT-0017,Pyridoxal-5-phosphate (active B6),supplement,treatment,"Active B6; cofactor for serotonin, GABA, dopamine; classic Rimland B6+Mg protocol.",10-50 mg/day pediatric,15,otc,yes,47.71,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,neurotransmitter synthesis; methylation,16494552,,69.4,2026-04-24T13:11:52.804324+00:00,61.88,2026-06-24T18:46:42+00:00,49.53,2026-06-24T18:46:42+00:00
INT-0018,Trimethylglycine (TMG / betaine),supplement,treatment,Methyl donor for homocysteine remethylation.,500-1500 mg/day,20,otc,yes,31.54,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,methylation; homocysteine,,,14.2,2026-04-24T13:11:52.804324+00:00,48.72,2026-06-24T18:46:42+00:00,35.63,2026-06-24T18:46:42+00:00
INT-0019,S-adenosylmethionine (SAMe),supplement,treatment,Universal methyl donor for low-SAMe phenotypes.,200-800 mg/day,60,otc,uncertain,28.06,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,methylation; SAM/SAH ratio,,,13.3,2026-04-24T13:11:52.804324+00:00,41.92,2026-06-24T18:46:42+00:00,33.31,2026-06-24T18:46:42+00:00
INT-0020,Glutathione (liposomal or precursors),supplement,treatment,Master antioxidant; depletion documented in autism.,200-500 mg/day,40,otc,yes,51.97,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,oxidative stress; redox,,,54.1,2026-04-24T13:11:52.804324+00:00,64.18,2026-06-24T18:46:42+00:00,53.33,2026-06-24T18:46:42+00:00
INT-0021,Lithium orotate (low-dose),supplement,treatment,Sub-clinical lithium modulates GSK-3beta; some open-label autism reports.,5-20 mg/day,15,otc,uncertain,26.72,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,GSK-3beta; BDNF,,,11.3,2026-04-24T13:11:52.804324+00:00,39.27,2026-06-24T18:46:42+00:00,25.05,2026-06-24T18:46:42+00:00
INT-0022,Inositol (myo-inositol),supplement,treatment,Involved in serotonin/dopamine signaling; small studies in OCD and autism repetitive behaviors.,1-4 g/day,20,otc,yes,43.04,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,phosphoinositide signaling,,,64.6,2026-04-24T13:11:52.804324+00:00,56.55,2026-06-24T18:46:42+00:00,35.12,2026-06-24T18:46:42+00:00
INT-0023,Taurine,supplement,treatment,Inhibitory neuromodulator; supports GABA tone.,500-2000 mg/day,12,otc,yes,50.13,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,GABA; calcium homeostasis,,,73.6,2026-04-24T13:11:52.804324+00:00,64.53,2026-06-24T18:46:42+00:00,50.49,2026-06-24T18:46:42+00:00
INT-0024,Glycine,supplement,treatment,Improves sleep; precursor to glutathione.,1-3 g/day,8,otc,yes,52.56,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NMDA co-agonist; glutathione precursor,,,66.7,2026-04-24T13:11:52.804324+00:00,62.94,2026-06-24T18:46:42+00:00,47.71,2026-06-24T18:46:42+00:00
INT-0025,Probiotics (multi-strain),supplement,treatment,Specific strains (Visbiome) modulate autism gut microbiome.,varies,50,otc,yes,72.04,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,gut microbiome,29282296,,71.1,2026-04-24T13:11:52.804324+00:00,76.00,2026-06-24T18:46:42+00:00,71.66,2026-06-24T18:46:42+00:00
INT-0026,Berberine,supplement,treatment,Activates AMPK; modulates microbiome; emerging interest.,500-1500 mg/day,25,otc,uncertain,29.94,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,AMPK; gut microbiome,,,10.8,2026-04-24T13:11:52.804324+00:00,44.54,2026-06-24T18:46:42+00:00,35.57,2026-06-24T18:46:42+00:00
INT-0027,Curcumin (high-bioavailability),supplement,treatment,Crosses BBB in bioavailable forms; modulates microglial activation.,500-1500 mg/day,30,otc,yes,51.36,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NF-kB; neuroinflammation; BDNF,,,73.8,2026-04-24T13:11:52.804324+00:00,63.41,2026-06-24T18:46:42+00:00,53.32,2026-06-24T18:46:42+00:00
INT-0028,Resveratrol,supplement,treatment,SIRT1 activator; mitochondrial biogenesis.,100-500 mg/day,25,otc,yes,51.84,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,SIRT1; mTOR,,,70.5,2026-04-24T13:11:52.804324+00:00,65.37,2026-06-24T18:46:42+00:00,53.43,2026-06-24T18:46:42+00:00
INT-0029,Quercetin,supplement,treatment,Mast cell stabilizer; relevant for autism + MCAS subset.,500-1500 mg/day,20,otc,yes,52.28,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mast cells; histamine,,,65.9,2026-04-24T13:11:52.804324+00:00,65.66,2026-06-24T18:46:42+00:00,54.02,2026-06-24T18:46:42+00:00
INT-0030,Choline (CDP-choline / Alpha-GPC),supplement,treatment,Methyl donor; preconception/prenatal choline reduces neurodevelopmental risk.,250-1000 mg/day,25,otc,yes,63.90,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,acetylcholine; methylation,,,84.6,2026-04-24T13:11:52.804324+00:00,73.03,2026-06-24T18:46:42+00:00,63.20,2026-06-24T18:46:42+00:00
INT-0031,Bacopa monnieri,herb,treatment,Adaptogen; pediatric ADHD trials show cognitive improvement.,300-600 mg/day,20,otc,yes,43.59,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,BDNF; cholinergic,,,35.4,2026-04-24T13:11:52.804324+00:00,59.15,2026-06-24T18:46:42+00:00,44.49,2026-06-24T18:46:42+00:00
INT-0032,Ashwagandha,herb,treatment,Adaptogen; reduces cortisol and anxiety.,300-600 mg/day,18,otc,uncertain,27.76,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,GABA; cortisol; HPA axis,,,10.3,2026-04-24T13:11:52.804324+00:00,43.08,2026-06-24T18:46:42+00:00,32.67,2026-06-24T18:46:42+00:00
INT-0033,Lion's mane (Hericium erinaceus),herb,treatment,Stimulates NGF synthesis; mechanistic plausibility for neurodevelopment.,500-3000 mg/day,30,otc,yes,28.62,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NGF; BDNF,,,10.7,2026-04-24T13:11:52.804324+00:00,45.19,2026-06-24T18:46:42+00:00,32.11,2026-06-24T18:46:42+00:00
INT-0034,Saffron,herb,treatment,RCTs show comparable efficacy to methylphenidate in pediatric ADHD.,30 mg/day standardized,25,otc,yes,46.09,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,serotonin; dopamine,30852141,,34.5,2026-04-24T13:11:52.804324+00:00,61.65,2026-06-24T18:46:42+00:00,45.99,2026-06-24T18:46:42+00:00
INT-0035,Cannabidiol (CBD),herb,treatment,Multiple small autism trials show behavior and seizure improvements.,1-5 mg/kg/day,100,otc,uncertain,49.45,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,endocannabinoid system; GABA,32514691,,71.5,2026-04-24T13:11:52.804324+00:00,56.90,2026-06-24T18:46:42+00:00,52.03,2026-06-24T18:46:42+00:00
INT-0036,Rapamycin (sirolimus),drug,treatment,FDA-approved for TSC; off-label in autism + mTOR variants.,0.5-2 mg twice weekly,200,rx,uncertain,67.05,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mTOR pathway,,,69.2,2026-04-24T13:11:52.804324+00:00,65.31,2026-06-24T18:46:42+00:00,68.87,2026-06-24T18:46:42+00:00
INT-0037,Metformin,drug,treatment,Activates AMPK; modulates microbiome.,500-1000 mg/day,8,rx,uncertain,62.40,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,AMPK; gut microbiome,,,71.8,2026-04-24T13:11:52.804324+00:00,67.99,2026-06-24T18:46:42+00:00,63.55,2026-06-24T18:46:42+00:00
INT-0038,Memantine,drug,treatment,NMDA modulator; mixed RCT results.,5-20 mg/day,30,rx,uncertain,47.33,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NMDA receptor antagonist,23253334,,62.2,2026-04-24T13:11:52.804324+00:00,57.34,2026-06-24T18:46:42+00:00,49.95,2026-06-24T18:46:42+00:00
INT-0039,Riluzole,drug,treatment,Glutamate modulator; FDA for ALS; small autism trials.,50-200 mg/day,200,rx,uncertain,25.90,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,glutamate; sodium channels,,,10.1,2026-04-24T13:11:52.804324+00:00,36.99,2026-06-24T18:46:42+00:00,31.43,2026-06-24T18:46:42+00:00
INT-0040,D-cycloserine,drug,treatment,NMDA partial agonist; small trials for autism social cognition.,50 mg weekly,80,rx,uncertain,27.82,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,NMDA glycine site,,,8.9,2026-04-24T13:11:52.804324+00:00,38.27,2026-06-24T18:46:42+00:00,33.98,2026-06-24T18:46:42+00:00
INT-0041,GFCF diet,food,treatment,Eliminates gluten and dairy; mixed RCT results overall but responsive subset.,diet protocol,0,lifestyle,yes,51.46,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,opioid peptides; intestinal permeability,23829541,,69.7,2026-04-24T13:11:52.804324+00:00,66.31,2026-06-24T18:46:42+00:00,54.12,2026-06-24T18:46:42+00:00
INT-0042,GAPS diet,food,treatment,Multi-stage healing diet; anecdotal autism community endorsement.,diet protocol,0,lifestyle,uncertain,46.78,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,gut healing; microbiome,,,62.2,2026-04-24T13:11:52.804324+00:00,59.04,2026-06-24T18:46:42+00:00,49.77,2026-06-24T18:46:42+00:00
INT-0043,Low-glutamate diet,food,treatment,Reduces excitatory load; small case series.,diet protocol,0,lifestyle,yes,31.14,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,MSG; free glutamate; excitotoxicity,,,11.1,2026-04-24T13:11:52.804324+00:00,49.21,2026-06-24T18:46:42+00:00,34.91,2026-06-24T18:46:42+00:00
INT-0044,Cruciferous vegetable-rich diet,food,treatment,Whole-food source of sulforaphane and indole-3-carbinol.,>=3 servings/week,0,lifestyle,yes,33.55,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,sulforaphane; NRF2; detox,,,12.1,2026-04-24T13:11:52.804324+00:00,50.82,2026-06-24T18:46:42+00:00,38.14,2026-06-24T18:46:42+00:00
INT-0045,Low-oxalate diet,food,treatment,Eliminates high-oxalate foods; controversial.,diet protocol,0,lifestyle,uncertain,30.09,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,oxalate; mitochondrial,,,8.8,2026-04-24T13:11:52.804324+00:00,45.30,2026-06-24T18:46:42+00:00,35.66,2026-06-24T18:46:42+00:00
INT-0046,Sleep architecture optimization + melatonin,lifestyle,treatment,Sleep disturbance prevalent; structured sleep hygiene + melatonin (0.5-3 mg) improves daytime function.,behavioral + 0.5-3 mg melatonin,5,lifestyle,yes,61.91,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,circadian rhythm; melatonin,,,72.6,2026-04-24T13:11:52.804324+00:00,67.97,2026-06-24T18:46:42+00:00,50.41,2026-06-24T18:46:42+00:00
INT-0047,Aerobic exercise (structured),lifestyle,treatment,"Increases BDNF, reduces neuroinflammation; small autism RCTs positive.","30-60 min, 3-5x/week",0,lifestyle,yes,67.27,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,BDNF; neuroinflammation,,,64.5,2026-04-24T13:11:52.804324+00:00,75.50,2026-06-24T18:46:42+00:00,67.53,2026-06-24T18:46:42+00:00
INT-0048,Sauna / heat therapy,lifestyle,treatment,Activates HSPs; supports detoxification.,"15-30 min, 2-4x/week",50,lifestyle,uncertain,51.98,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,heat shock proteins; detox,,,8.7,2026-04-24T13:11:52.804324+00:00,58.40,2026-06-24T18:46:42+00:00,55.23,2026-06-24T18:46:42+00:00
INT-0049,Sunlight exposure,lifestyle,treatment,Vitamin D synthesis + circadian entrainment.,10-30 min midday,0,lifestyle,yes,29.48,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,UVB; vitamin D; circadian,,,11.2,2026-04-24T13:11:52.804324+00:00,44.99,2026-06-24T18:46:42+00:00,26.48,2026-06-24T18:46:42+00:00
INT-0050,EMF reduction (bedroom),lifestyle,cause_mitigation,Removes wifi/cell from bedroom; mechanism via oxidative stress and circadian.,behavioral,0,lifestyle,yes,36.74,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,electromagnetic field; oxidative stress,,,10.7,2026-04-24T13:11:52.804324+00:00,52.75,2026-06-24T18:46:42+00:00,41.04,2026-06-24T18:46:42+00:00
INT-0051,HEPA air filtration,environmental,cause_mitigation,Reduces airborne pollutants; relevant given air-pollution-autism associations.,$100-300 + filter changes,15,otc,yes,30.01,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,PM2.5; VOCs; mold,,,12.3,2026-04-24T13:11:52.804324+00:00,43.99,2026-06-24T18:46:42+00:00,23.21,2026-06-24T18:46:42+00:00
INT-0052,Glass / stainless replacement of plastic,environmental,cause_mitigation,Removes major exposure pathway for endocrine disruptors.,$50-200 one-time,0,lifestyle,yes,32.82,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,BPA; phthalates,,,10.0,2026-04-24T13:11:52.804324+00:00,46.46,2026-06-24T18:46:42+00:00,25.70,2026-06-24T18:46:42+00:00
INT-0053,Organic produce,environmental,cause_mitigation,Reduces glyphosate and pesticide exposure.,ongoing,100,lifestyle,yes,20.86,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,glyphosate; pesticide residue,,,9.6,2026-04-24T13:11:52.804324+00:00,33.30,2026-06-24T18:46:42+00:00,15.38,2026-06-24T18:46:42+00:00
INT-0054,Mold remediation,environmental,cause_mitigation,Hidden mold linked to immune dysregulation.,$500-5000 one-time,0,lifestyle,yes,23.14,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mycotoxins; immune dysregulation,,,9.6,2026-04-24T13:11:52.804324+00:00,40.60,2026-06-24T18:46:42+00:00,16.90,2026-06-24T18:46:42+00:00
INT-0055,Mitochondrial cocktail (CoQ10+L-carnitine+B-complex),combo,treatment,Standard mitochondrial cocktail; targets multiple complexes.,per components,80,otc,yes,43.65,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,mitochondrial bioenergetics,,INT-0011;INT-0012,11.4,2026-04-24T13:11:52.804324+00:00,55.68,2026-06-24T18:46:42+00:00,46.78,2026-06-24T18:46:42+00:00
INT-0056,Gut healing combo (GFCF + L-glutamine + probiotics),combo,treatment,Targets gut-brain axis comprehensively.,per components,100,lifestyle,yes,31.88,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,gut-brain axis,,INT-0025;INT-0041,9.9,2026-04-24T13:11:52.804324+00:00,45.75,2026-06-24T18:46:42+00:00,37.10,2026-06-24T18:46:42+00:00
INT-0057,Anti-inflammatory combo (sulforaphane + omega-3 + vitamin D),combo,treatment,Three independent anti-inflammatory mechanisms.,per components,70,otc,yes,34.20,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,neuroinflammation,,INT-0002;INT-0013;INT-0014,10.1,2026-04-24T13:11:52.804324+00:00,50.75,2026-06-24T18:46:42+00:00,39.22,2026-06-24T18:46:42+00:00
INT-0058,Preconception methylation panel + targeted nutrient repletion,supplement,prevention,Test parental methylation status; replete deficiencies before conception.,$100-200 test + repletion,30,otc,yes,30.97,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,MTHFR; methylation,,,17.9,2026-04-24T13:11:52.804324+00:00,46.76,2026-06-24T18:46:42+00:00,35.24,2026-06-24T18:46:42+00:00
INT-0059,Vaginal microbiome seeding at C-section,lifestyle,prevention,Vaginal swab transfer to C-section infant; controversial.,,0,lifestyle,uncertain,33.69,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,infant microbiome,,,9.2,2026-04-24T13:11:52.804324+00:00,47.47,2026-06-24T18:46:42+00:00,38.87,2026-06-24T18:46:42+00:00
INT-0060,Extended exclusive breastfeeding (>=6mo),lifestyle,prevention,Human milk oligosaccharides shape infant microbiome.,,0,lifestyle,yes,33.16,2026-06-24T18:46:42+00:00,active,,2026-04-24T17:07:31+00:00,2026-06-24T18:46:42+00:00,,infant microbiome; HMOs,,,11.4,2026-04-24T13:11:52.804324+00:00,50.56,2026-06-24T18:46:42+00:00,37.62,2026-06-24T18:46:42+00:00
INT-0061,Intranasal oxytocin,drug,treatment,Synthetic oxytocin delivered intranasally; modulates social cognition via amygdala/PFC. Acute and chronic dosing studied.,"16-32 IU/dose, 1-2x daily",200,rx,uncertain,53.74,2026-06-24T18:46:42+00:00,active,,2026-04-27T21:14:42+00:00,2026-06-24T18:46:42+00:00,Parker 2017 RCT positive in subset.,,,,,,53.96,2026-06-24T18:46:42+00:00,57.25,2026-06-24T18:46:42+00:00
